Geo Type,Geo ID,Population,Life Expectancy,Historic Redlining Score,Toxic Releases to Air,Extreme Income Disparities,Routine Checkup,Systolic Blood Pressure,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status
tract,26163535300,4195,70.7,3.0,81,0.2,82.3%,132.0,78,47,99
tract,26163546600,2027,70.6,,77,0.3,81.7%,133.0,83,18,94
tract,26161410700,1220,70.6,,65,0.4,75.3%,,76,77,67
tract,26163537600,3655,70.6,2.9,77,0.2,83.8%,134.0,81,57,97
tract,26163546900,1061,70.6,4.0,77,0.3,81.0%,136.0,86,74,98
tract,26021020500,3273,70.5,,75,0.3,78.4%,,91,43,46
tract,26099254500,4251,70.5,,73,0.0,79.3%,142.0,48,54,28
tract,26163507500,1869,70.5,3.0,83,0.3,83.5%,135.0,88,85,97
tract,26145001900,1904,70.5,3.0,50,0.2,77.0%,,96,25,63
tract,26147620000,4607,70.5,,96,0.0,78.6%,,75,92,56
tract,26163583100,3515,70.5,,77,0.2,75.4%,136.0,87,48,37
tract,26163504900,3486,70.4,3.0,92,0.1,82.4%,134.0,97,40,98
tract,26099268400,3232,70.4,,97,0.2,77.9%,132.0,99,56,53
tract,26125142700,3797,70.4,4.0,63,0.3,82.6%,134.0,89,39,92
tract,26163537100,2275,70.4,2.3,80,0.4,82.9%,130.0,88,66,97
tract,26049000300,2272,70.3,,24,0.2,82.7%,,74,56,95
tract,26163511400,2364,70.3,3.6,84,0.2,82.7%,134.0,85,92,83
tract,26115832100,3186,70.3,,72,0.2,76.1%,136.5,71,53,25
tract,26163585500,1730,70.3,,75,0.1,76.3%,137.0,53,43,35
tract,26049012311,1720,70.2,,23,0.1,77.6%,,74,24,49
tract,26163516600,2534,70.2,4.0,85,0.3,83.3%,133.0,81,61,97
tract,26163535200,2048,70.2,3.0,82,0.5,82.5%,135.0,95,73,100
tract,26163506100,2014,70.1,3.2,92,0.2,82.6%,135.0,80,7,94
tract,26049001900,3029,70.1,,25,0.3,77.1%,,95,78,70
tract,26161410800,1725,70.1,,68,0.2,71.3%,,87,82,61
tract,26163566900,4925,70.1,4.0,77,0.1,77.6%,138.0,56,87,58
tract,26163534400,1718,70.1,3.0,85,0.6,82.9%,134.0,93,36,93
tract,26163534500,683,70.1,3.0,87,0.5,82.7%,135.0,88,25,96
tract,26099247100,857,70.0,,58,0.3,75.8%,138.5,96,15,39
tract,26163506800,3890,70.0,,85,0.2,81.5%,135.0,82,28,98
tract,26099258600,4707,70.0,4.0,86,0.2,81.0%,135.0,87,34,76
tract,26163570500,3282,70.0,3.0,75,0.2,81.6%,137.0,84,96,84
tract,26017280700,3145,69.9,3.5,99,0.4,77.7%,,97,67,35
tract,26021000300,1958,69.9,,6,0.3,82.9%,,95,73,93
tract,26049011301,4912,69.9,4.0,54,0.4,76.2%,,90,72,39
tract,26163507300,1942,69.9,3.5,83,0.1,82.7%,138.0,58,24,98
tract,26163514300,2550,69.9,3.0,84,0.5,84.8%,134.0,96,93,95
tract,26163554500,2725,69.9,3.0,72,0.2,78.4%,141.0,78,64,72
tract,26163571000,1915,69.9,4.0,76,0.3,81.2%,140.0,89,60,94
tract,26049001700,1163,69.8,4.0,24,0.4,82.0%,,85,34,98
tract,26049010501,2406,69.8,4.0,22,0.3,76.9%,,81,55,64
tract,26163522500,1772,69.8,4.0,85,0.6,83.3%,134.0,96,100,84
tract,26125171600,2061,69.8,,77,0.0,78.1%,133.0,87,27,74
tract,26163504400,1567,69.8,2.1,85,0.4,81.1%,136.0,84,58,99
tract,26025004100,2202,69.7,3.7,88,0.3,75.9%,,79,86,67
tract,26099256100,2499,69.7,,88,-0.2,77.7%,135.0,46,27,53
tract,26099258900,2799,69.7,3.2,94,-0.1,79.4%,138.0,62,25,73
tract,26163533100,1427,69.7,3.0,84,0.3,83.7%,136.0,92,75,95
tract,26065000600,1893,69.7,2.3,52,0.3,74.5%,,67,76,56
tract,26163540200,3345,69.7,2.0,75,0.3,82.3%,131.0,95,12,100
tract,26021000500,1704,69.6,,6,0.4,81.8%,,99,34,98
tract,26049002300,1809,69.6,3.0,30,0.4,75.4%,,96,54,56
tract,26049003200,1912,69.6,3.9,41,0.3,82.3%,,93,47,99
tract,26163585700,1714,69.6,,73,0.0,80.1%,142.0,77,27,68
tract,26163537300,1727,69.6,3.0,79,0.1,81.6%,133.0,86,10,99
tract,26145000200,1458,69.5,3.4,55,0.6,84.3%,,91,45,98
tract,26163533200,827,69.5,3.0,85,0.3,82.6%,133.0,99,68,93
tract,26163524700,3933,69.4,3.0,96,0.2,82.2%,135.0,74,34,98
tract,26145000800,2867,69.3,3.0,49,0.5,84.3%,,82,76,97
tract,26163534600,1834,69.3,2.9,87,0.5,82.7%,135.0,88,25,96
tract,26163564900,1904,69.3,,82,0.1,73.9%,140.0,76,73,60
tract,26163506300,1792,69.3,3.7,90,0.4,81.9%,134.0,96,20,96
tract,26163511200,1204,69.3,4.0,86,0.4,81.0%,134.0,97,46,89
tract,26163542400,2763,69.2,2.0,78,0.2,83.1%,133.0,84,6,99
tract,26163515600,1456,69.2,3.4,84,0.4,81.7%,138.0,93,99,92
tract,26163535500,3400,69.2,3.0,82,0.4,83.0%,135.0,95,44,97
tract,26163551600,3592,69.1,,85,0.1,79.9%,133.0,89,42,88
tract,26021002200,3088,69.0,,6,0.6,82.2%,,98,79,97
tract,26163526500,1821,69.0,3.2,89,0.4,80.3%,135.0,89,44,98
tract,26163544100,2479,69.0,4.0,73,0.3,81.1%,130.0,85,46,92
tract,26163570800,2971,69.0,4.0,75,0.3,82.0%,137.0,90,49,91
tract,26163532200,1199,68.9,3.0,83,0.1,80.0%,135.0,76,55,85
tract,26163507400,2160,68.9,3.0,83,0.2,82.6%,133.0,88,93,98
tract,26163546500,2414,68.9,4.0,76,0.3,83.2%,135.0,94,37,96
tract,26163578000,2527,68.9,3.0,95,0.0,75.4%,139.0,73,28,48
tract,26163579300,2396,68.9,4.0,95,0.4,83.3%,136.0,98,31,100
tract,26049000900,2557,68.8,2.4,28,0.5,83.3%,,88,23,94
tract,26163512100,2707,68.8,2.0,83,0.3,82.6%,135.0,95,44,99
tract,26163535100,1737,68.8,3.0,83,0.3,83.2%,134.0,96,47,99
tract,26163579700,3062,68.7,3.9,96,0.3,77.4%,138.0,93,48,67
tract,26163536700,956,68.7,2.9,81,0.2,83.6%,132.0,78,35,99
tract,26163535700,1122,68.6,3.0,85,0.3,82.2%,133.0,88,27,98
tract,26163553800,1557,68.6,3.0,83,0.2,80.6%,131.0,88,81,94
tract,26163579100,1570,68.6,3.5,95,0.3,77.3%,138.0,66,20,58
tract,26145001100,2569,68.6,3.6,44,0.5,81.2%,,93,78,88
tract,26163527300,1014,68.4,4.0,87,0.5,81.5%,132.0,99,92,95
tract,26163503300,3508,68.4,2.0,94,0.2,81.0%,135.0,95,35,98
tract,26163513600,1379,68.4,3.2,84,0.4,81.7%,136.0,93,99,92
tract,26163542100,4104,68.4,1.3,75,0.3,82.5%,132.0,95,59,97
tract,26099268300,2626,68.3,,98,0.4,76.6%,137.5,96,17,52
tract,26125142400,3428,68.3,3.6,63,0.1,80.7%,136.0,90,71,93
tract,26163500100,3369,68.3,3.0,89,0.2,80.9%,133.0,94,39,96
tract,26163541100,2359,68.3,3.0,72,0.3,81.7%,130.0,86,45,97
tract,26125141600,4485,68.2,2.8,61,0.1,76.5%,135.0,84,91,88
tract,26163530300,1312,68.2,3.2,83,0.4,82.7%,134.0,94,46,95
tract,26163577100,2428,68.1,3.0,92,0.1,73.3%,136.0,81,80,72
tract,26163536400,2274,68.0,3.0,82,0.2,83.6%,133.0,90,40,98
tract,26163572500,1857,68.0,,76,0.1,78.4%,138.0,72,45,43
tract,26163532400,1412,67.9,3.0,84,0.3,82.5%,135.0,64,86,87
tract,26163500300,1900,67.9,3.0,91,0.1,80.0%,132.0,86,30,95
tract,26163502000,2076,67.9,2.6,81,0.2,81.5%,133.0,88,57,97
tract,26049012202,1048,67.8,4.0,25,0.3,80.9%,,80,18,77
tract,26163514100,2585,67.8,3.1,84,0.4,83.2%,135.0,96,87,94
tract,26163568500,3734,67.8,,76,0.2,76.2%,130.0,88,80,64
tract,26049001000,1796,67.8,2.0,28,0.4,83.3%,,86,15,98
tract,26163507200,1091,67.8,4.0,84,0.2,82.1%,136.0,71,38,99
tract,26163579800,1880,67.7,3.4,97,0.3,74.5%,134.0,92,82,72
tract,26021002300,1920,67.7,,5,0.3,78.1%,,90,72,85
tract,26163533400,2171,67.7,3.0,85,0.5,82.0%,133.0,94,15,100
tract,26021002100,2111,67.6,,7,0.4,81.8%,,99,99,80
tract,26163512300,1405,67.5,3.0,81,0.4,82.4%,129.0,93,90,98
tract,26075000600,1001,67.5,2.8,38,0.7,75.0%,,96,76,56
tract,26161410100,3060,67.4,,61,0.2,69.4%,,83,43,75
tract,26099245400,1421,67.3,,60,0.0,80.7%,140.0,68,70,69
tract,26163536300,2745,67.2,2.5,82,0.1,82.2%,130.0,91,39,99
tract,26125141200,3136,67.0,,61,0.6,78.4%,141.0,96,74,84
tract,26163504100,1357,67.0,2.0,85,0.3,81.9%,131.0,98,36,100
tract,26147624000,1662,66.8,,66,0.5,79.7%,,97,87,31
tract,26099263200,2509,66.8,3.0,96,0.2,77.4%,135.0,80,76,64
tract,26163515300,3172,66.7,3.5,87,0.4,82.4%,134.0,83,93,85
tract,26163514500,943,66.5,3.0,84,0.4,83.0%,135.0,91,31,92
tract,26145000400,954,66.4,3.0,51,0.2,81.0%,,74,85,84
tract,26163522400,972,66.4,3.9,85,0.1,80.2%,134.0,82,88,84
tract,26163553400,2598,66.4,4.0,82,0.7,85.1%,134.0,96,93,95
tract,26163568800,3138,66.4,,75,0.1,77.5%,136.0,82,94,75
tract,26163511900,1369,66.3,4.0,85,0.5,78.8%,135.0,83,63,81
tract,26163516000,2230,66.2,3.0,85,0.1,82.0%,135.0,71,87,91
tract,26147625000,1484,66.1,,54,0.3,76.0%,,80,57,49
tract,26163530900,1626,66.0,3.0,85,0.4,83.4%,135.0,65,82,91
tract,26163504800,591,65.9,3.6,86,0.3,83.1%,134.0,86,84,93
tract,26049002200,1924,65.8,3.1,29,0.6,76.8%,,98,46,53
tract,26163543600,1084,65.7,4.0,74,0.3,79.5%,133.0,89,38,93
tract,26125142200,2764,65.7,2.7,63,0.5,80.4%,139.0,99,87,89
tract,26163527200,649,65.6,4.0,87,0.5,81.5%,136.0,99,92,95
tract,26163530100,2171,65.6,3.5,82,0.5,83.0%,134.0,83,95,92
tract,26049000700,2080,65.5,3.0,26,0.2,82.4%,,90,27,98
tract,26163507900,1102,65.4,3.0,82,0.1,80.8%,130.0,83,52,90
tract,26025002600,2080,65.3,,96,0.3,73.3%,,88,96,53
tract,26049000200,1315,64.7,3.0,23,0.3,83.1%,,84,54,98
tract,26163522300,1266,64.7,4.0,85,0.8,83.3%,135.0,94,63,99
tract,26163516400,855,64.6,3.9,91,0.0,77.8%,133.0,65,86,84
tract,26115831800,1275,64.4,,80,0.1,76.1%,132.5,96,81,65
tract,26163545100,773,63.7,3.0,79,0.5,82.0%,135.0,98,12,98
tract,26163531900,904,62.0,3.0,83,0.2,81.8%,131.0,85,69,90
tract,26065002902,4434,,3.0,71,0.2,71.0%,,78,77,70
tract,26065004100,5535,,1.7,44,0.4,71.0%,,73,92,25
tract,26065004490,3937,,,46,,69.4%,,,,42
tract,26065004493,1720,,2.0,43,0.6,70.0%,,,,51
tract,26067982200,3172,,,42,0.0,70.4%,,,,74
tract,26069990000,0,,,,,,,,,
tract,26073000500,4435,,,62,0.4,70.3%,,60,35,22
tract,26001000100,1699,,,43,-0.2,84.3%,,20,23,10
tract,26007990000,0,,,,,,,,,
tract,26011990000,0,,,12,0.0,81.4%,,58,63,7
tract,26013990100,0,,,,,,,,,
tract,26017990000,0,,,,,,,,,
tract,26033980100,0,,,0,,,,,,
tract,26033980200,1262,,,0,0.2,71.3%,,,,82
tract,26033980300,157,,,0,,,,,,76
tract,26045020304,4832,,,48,-0.3,80.8%,,13,75,35
tract,26049003400,2316,,4.0,37,0.8,76.7%,,93,86,92
tract,26049010114,2479,,,25,-0.2,78.6%,,25,36,8
tract,26049011102,5513,,,34,-0.2,77.0%,,36,70,34
tract,26049011711,2526,,,27,0.2,77.3%,,76,73,8
tract,26049011713,3500,,,27,0.2,77.2%,,71,49,25
tract,26049980100,0,,4.0,0,0.6,76.8%,,,,
tract,26057000400,3748,,,40,,70.0%,,,,74
tract,26065000800,3012,,3.2,50,0.2,74.4%,,79,25,65
tract,26077001507,6418,,,67,0.4,68.8%,,88,86,52
tract,26081003100,4003,,3.0,56,0.0,78.2%,,84,71,88
tract,26081011901,6944,,,47,-0.7,79.0%,,1,2,17
tract,26083980100,3,,,0,,,,,,0
tract,26083990100,0,,,6,-0.1,82.1%,,28,44,4
tract,26087336500,1268,,,31,0.2,73.1%,,,,78
tract,26093740300,2173,,,52,-0.6,77.8%,,2,4,10
tract,26097990000,0,,,,,,,,,
tract,26099222101,5665,,,43,-0.1,78.4%,139.0,25,62,36
tract,26099230000,4403,,,63,0.0,80.9%,138.0,79,83,25
tract,26125128700,2181,,,57,-0.7,76.6%,142.0,12,2,36
tract,26125133001,2791,,,65,-0.7,77.2%,143.0,3,1,18
tract,26125137100,11067,,,64,-0.6,77.4%,136.0,18,34,57
tract,26125173200,2803,,2.6,79,-0.5,77.2%,138.0,5,7,26
tract,26161415200,2297,,,59,-0.2,66.7%,,39,21,65
tract,26161421900,1359,,,58,,67.5%,,,,73
tract,26161422900,2100,,,54,-0.6,73.3%,,11,29,23
tract,26163516800,948,,4.0,89,0.1,82.9%,137.0,92,87,88
tract,26139024500,10837,,,54,0.4,74.6%,,72,28,30
tract,26143970200,1706,,,29,0.2,80.4%,,78,37,16
tract,26147640600,2365,,,39,-0.3,79.0%,,30,27,10
tract,26151990000,0,,,,,,,,,
tract,26153990000,0,,,,,,,,,
tract,26161400100,2348,,,50,0.3,67.4%,,77,59,47
tract,26161400800,3224,,,50,0.4,64.5%,,72,86,49
tract,26161407400,5824,,,73,0.0,73.0%,,92,38,76
tract,26163985000,0,,4.0,89,,,128.0,,,
tract,26163985500,0,,,0,,,125.0,,,
tract,26163990200,0,,,,,,,,,
tract,26065003802,4154,,,43,0.1,75.0%,,41,48,43
tract,26065004301,4311,,2.3,42,-0.1,74.4%,,43,55,41
tract,26065004302,2604,,2.0,43,0.6,70.3%,,75,95,57
tract,26065004402,1399,,,49,0.1,73.2%,,50,47,82
tract,26065004403,1656,,3.0,47,0.2,72.1%,,69,77,56
tract,26163524500,113,,3.9,99,0.7,76.7%,130.0,100,8,86
tract,26163543400,3577,,1.7,74,0.1,82.2%,132.0,83,47,98
tract,26163543700,2620,,3.2,75,0.4,80.0%,132.0,87,63,98
tract,26163543800,777,,4.0,74,0.3,79.5%,131.0,89,38,93
tract,26163543900,782,,4.0,75,0.5,80.9%,131.0,89,80,95
tract,26163553200,661,,3.0,82,0.0,82.2%,135.5,85,50,90
tract,26163557400,3144,,,71,-0.6,79.4%,132.0,8,1,21
tract,26163563200,3137,,,74,-0.2,75.4%,130.0,15,20,60
tract,26163583200,2245,,,78,0.0,74.1%,134.0,78,35,51
tract,26065004491,1225,,,43,,72.0%,,,,43
tract,26065004492,3474,,2.6,45,,70.5%,,,,38
tract,26065004494,3351,,,43,,69.0%,,,,43
tract,26065004902,5208,,,43,0.0,75.3%,,76,75,50
tract,26065005201,5993,,,48,0.1,76.6%,,74,43,71
tract,26065980000,877,,,50,0.6,68.8%,,,,42
tract,26065980100,42,,3.1,53,-0.5,76.5%,,0,0,87
tract,26065980200,0,,2.9,55,,,,,,
tract,26065980300,0,,,31,,,,,,
tract,26069000300,2601,,,6,0.1,81.4%,,48,69,3
tract,26005030800,5042,,,24,-0.4,81.8%,,11,66,27
tract,26073000800,2899,,,62,0.3,71.0%,,80,93,32
tract,26075005800,5113,,,38,0.3,69.5%,,,,68
tract,26005990000,0,,,,,,,,,
tract,26021001900,1952,,,8,-0.1,79.3%,,58,89,40
tract,26029000500,577,,,2,-0.2,84.4%,,48,16,8
tract,26025000600,3001,,3.5,83,0.3,76.3%,,81,54,65
tract,26025000900,3510,,,84,0.1,79.5%,,46,57,31
tract,26037011200,2223,,,40,0.4,74.3%,,86,57,47
tract,26039960400,2090,,,48,0.1,82.1%,,51,31,15
tract,26035000300,2411,,,22,0.1,80.6%,,65,24,18
tract,26037010105,3909,,,35,-0.5,78.1%,,12,21,32
tract,26049011502,3183,,,30,0.0,78.0%,,50,6,24
tract,26047970800,4181,,,4,-0.1,79.9%,,31,77,22
tract,26049000600,1707,,2.8,25,0.2,83.8%,,70,88,93
tract,26049001500,1291,,3.1,35,0.4,78.9%,,86,94,79
tract,26049001800,2175,,,24,0.7,77.9%,,86,82,89
tract,26049010111,1255,,,28,-0.4,79.4%,,39,16,32
tract,26049980000,42,,,70,-0.3,79.5%,,,,
tract,26063950100,1257,,,34,0.1,82.5%,,53,80,20
tract,26063950400,793,,,30,-0.1,82.6%,,18,15,1
tract,26065002000,3035,,3.0,50,0.1,75.1%,,87,86,59
tract,26099247200,6845,,,57,-0.5,80.2%,140.0,12,10,23
tract,26143970400,2064,,,25,-0.1,83.4%,,32,19,12
tract,26099264000,2159,,3.0,96,0.1,77.8%,136.0,94,62,81
tract,26099268100,2839,,3.0,93,0.1,79.2%,136.5,75,39,66
tract,26099982000,9,,,77,,,,,,
tract,26099982100,0,,,54,-0.3,78.5%,134.0,,,
tract,26099982300,104,,,81,-0.1,77.6%,130.0,,,13
tract,26099215200,8039,,,54,-0.7,80.9%,140.0,11,37,4
tract,26101000500,3616,,,32,0.0,76.6%,,67,51,42
tract,26103000500,1928,,,6,0.3,66.2%,,57,59,32
tract,26103000600,2758,,,5,0.3,72.4%,,48,65,6
tract,26099225600,4479,,,65,-0.2,76.0%,142.0,35,37,37
tract,26125122700,3173,,,44,-0.3,77.4%,139.0,15,11,14
tract,26147627000,2410,,,48,-0.2,78.7%,,31,24,19
tract,26077000201,2171,,3.1,74,0.2,74.7%,,71,85,45
tract,26099226400,2655,,,56,-0.6,78.3%,143.0,23,6,22
tract,26077000600,4871,,2.8,73,0.1,71.7%,,87,69,33
tract,26077000900,1041,,3.3,80,0.2,74.3%,,84,68,75
tract,26077001504,4683,,,72,0.5,68.9%,,85,74,50
tract,26125131100,2279,,,49,-0.5,78.2%,140.0,21,5,6
tract,26125131600,2770,,,48,-0.4,78.3%,140.0,26,6,11
tract,26125134600,4087,,,64,-0.4,77.8%,139.0,23,7,15
tract,26163521800,1625,,3.3,85,0.5,85.3%,137.0,86,50,97
tract,26163522100,662,,4.0,88,0.4,81.0%,137.0,74,46,92
tract,26163522200,390,,4.0,87,0.5,81.5%,134.0,99,92,95
tract,26125192800,2204,,,63,-0.6,69.0%,143.0,,,56
tract,26125193600,2491,,,65,-0.4,77.6%,135.0,18,1,25
tract,26125138301,3939,,,68,-0.4,76.4%,138.0,45,39,24
tract,26125981000,0,,,0,,,115.0,,,
tract,26127010800,2987,,,12,-0.1,81.6%,,38,70,14
tract,26161411000,2820,,,65,0.2,66.3%,,55,74,32
tract,26161411100,2831,,,64,0.5,64.1%,,67,92,54
tract,26161411200,2591,,,64,0.3,70.7%,,84,50,80
tract,26081002500,4702,,3.0,54,-0.2,71.8%,,34,38,33
tract,26131990100,0,,,0,0.1,81.6%,,50,61,8
tract,26125150200,2417,,,64,-0.7,82.0%,137.0,28,9,41
tract,26163532300,727,,3.0,83,0.1,80.0%,135.0,76,55,85
tract,26125157800,3340,,,64,-0.5,82.8%,141.0,8,57,59
tract,26081012604,7396,,,73,-0.6,76.6%,,16,33,51
tract,26081012605,3149,,,58,-0.4,74.7%,,22,41,39
tract,26163591800,5822,,,72,-0.1,78.1%,138.0,55,46,40
tract,26161415600,2373,,,50,-0.8,73.9%,,6,83,47
tract,26161423600,2601,,,46,-0.4,72.9%,,40,7,31
tract,26087334500,2217,,,28,-0.4,77.7%,,47,10,11
tract,26107960600,3370,,,31,0.1,74.2%,,62,99,31
tract,26107981300,1863,,,25,-1.0,67.7%,,20,8,41
tract,26161445000,2782,,,34,-0.6,74.6%,,6,45,13
tract,26161984000,47,,,86,-0.8,75.8%,,22,9,0
tract,26161400200,6143,,,53,0.7,65.7%,,60,37,51
tract,26161400300,7393,,,53,0.3,64.5%,,62,99,39
tract,26161400500,7332,,,50,0.3,64.6%,,74,89,39
tract,26163503900,2071,,2.0,87,0.1,82.0%,131.0,88,72,94
tract,26163505000,795,,3.0,92,0.1,82.4%,136.0,97,40,98
tract,26163985100,200,,3.8,88,0.1,69.7%,132.0,79,76,79
tract,26163985200,0,,4.0,83,,,136.0,,,
tract,26163985300,233,,4.0,86,0.1,73.5%,134.0,72,64,65
tract,26163985400,20,,,72,-1.0,,144.0,0,0,63
tract,26163985600,0,,,0,,,,,,
tract,26163985700,0,,,0,0.7,76.7%,125.0,,,
tract,26163990100,0,,,,,,,,,
tract,26089970400,1538,,,4,-0.4,85.8%,,17,80,16
tract,26163507800,456,,4.0,82,0.1,80.8%,135.0,83,52,90
tract,26163510400,514,,4.0,84,0.1,75.6%,134.0,93,57,89
tract,26163512200,1061,,3.0,83,0.3,82.6%,134.0,95,44,99
tract,26093710100,2646,,,41,-0.5,78.5%,,8,8,20
tract,26163515700,3719,,3.3,83,0.4,85.7%,137.0,62,36,87
tract,26163516100,576,,3.6,85,0.4,83.9%,134.0,86,34,92
tract,26163516200,645,,3.5,94,0.3,83.1%,134.0,93,73,83
tract,26163516300,720,,3.6,94,0.3,83.1%,132.0,93,73,83
tract,26163518000,2863,,3.7,85,0.0,79.1%,136.0,40,83,77
tract,26163518400,269,,3.7,85,0.3,82.4%,138.0,96,87,84
tract,26163518600,373,,3.7,86,0.2,81.1%,136.0,71,58,89
tract,26163518800,565,,4.0,86,0.2,81.1%,131.0,71,58,89
tract,26163520200,3138,,3.6,84,0.2,72.6%,129.0,72,93,67
tract,26163520400,1941,,4.0,85,0.5,74.8%,132.0,97,86,86
tract,26139023500,4835,,,55,-0.7,78.3%,,1,1,9
tract,26161400600,4714,,,48,-0.4,68.9%,,21,46,21
tract,26161400700,2887,,,48,-0.1,71.9%,,57,62,46
tract,26161402100,3046,,,51,-0.1,68.0%,,34,68,60
tract,26161402200,5261,,,54,0.4,63.8%,,52,97,65
tract,26093742401,1257,,,63,-0.3,76.8%,,39,55,20
tract,26115990000,0,,,,-0.2,79.0%,,35,21,10
tract,26093743700,2517,,,84,-0.3,78.9%,,15,18,2
tract,26095980000,0,,,0,,,,,,
tract,26163543000,1848,,2.0,75,-0.3,84.1%,135.0,12,17,87
tract,26163550400,1548,,2.3,77,-0.4,81.3%,131.0,10,18,20
tract,26163550700,5283,,1.4,77,-0.6,79.8%,134.0,2,20,19
tract,26163556500,2187,,,71,-0.1,83.1%,161.0,27,56,34
tract,26163557200,2050,,,69,-0.2,80.5%,148.0,41,94,21
tract,26163560300,3318,,,70,-0.4,79.7%,140.0,9,28,28
tract,26163564502,3758,,,75,-0.7,80.7%,137.0,20,21,50
tract,26163567000,3578,,,75,-0.1,80.6%,145.0,73,69,81
tract,26163570400,5253,,3.0,75,0.3,79.7%,137.0,98,98,84
tract,26163580700,3768,,3.0,97,0.0,78.6%,139.0,47,60,25
tract,26163581500,2229,,,94,-0.2,75.8%,138.0,30,3,17
tract,26163501700,1888,,3.0,80,0.3,82.3%,134.0,95,94,81
tract,26163985900,0,,4.0,0,,,138.0,,,
tract,26099982200,32,,,95,,,132.0,,,100
tract,26163532700,614,,3.9,84,0.4,82.6%,135.0,77,59,93
tract,26163533700,899,,3.0,87,0.3,83.3%,135.0,94,66,93
