Geo Type,Geo ID,Population,Chronic Obstructive Pulmonary Disease,Historic Redlining Score,Toxic Releases to Air,Extreme Income Disparities,Pneumonia,Chronic Obstructive Pulmonary Disease_2,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status
tract,26065005402,3635,8.70%,,54,0.1,,,67,61,32
tract,26075006100,6429,8.70%,,28,-0.1,,,15,35,18
tract,26075006304,2738,8.70%,,30,-0.5,,,4,16,10
tract,26009960400,3114,8.70%,,7,-0.1,,,46,77,12
tract,26025000900,3510,8.70%,,84,0.1,,,46,57,31
tract,26025003500,2799,8.70%,,70,0.1,,,63,47,42
tract,26029001400,1158,8.70%,,6,-0.1,,,64,59,16
tract,26049012009,2620,8.70%,,27,-0.3,,,31,24,7
tract,26049010700,4906,8.70%,,15,-0.4,,,8,20,6
tract,26049012904,6190,8.70%,,33,-0.3,,,17,39,21
tract,26049980000,42,8.70%,,70,-0.3,,,,,
tract,26099255800,2630,8.70%,3,81,-0.2,0,0,63,39,39
tract,26065002700,3049,8.70%,3,51,0,,,43,52,64
tract,26121001901,3868,8.70%,,76,-0.1,,,29,38,24
tract,26145011100,1767,8.70%,,55,-0.1,,,31,27,22
tract,26099217000,2554,8.70%,,42,-0.3,0,0,19,7,11
tract,26099232000,2420,8.70%,,71,-0.3,0,0,48,25,32
tract,26099241500,3612,8.70%,,68,-0.2,0,0,38,51,46
tract,26099241700,4796,8.70%,,66,0.1,0,0,67,17,51
tract,26125130500,3033,8.70%,,58,-0.4,700,500,11,10,11
tract,26077002802,6530,8.70%,,69,-0.3,,,60,60,30
tract,26125135000,3842,8.70%,,63,-0.2,500,700,68,53,35
tract,26125140100,1345,8.70%,,63,-0.3,,,,,
tract,26125145502,3840,8.70%,,61,-0.1,200,100,45,30,13
tract,26163532200,1199,8.70%,3,83,0.1,300,100,76,55,85
tract,26163532300,727,8.70%,3,83,0.1,100,0,76,55,85
tract,26163587900,6166,8.70%,,85,-0.3,0,0,76,78,64
tract,26149040500,2596,8.70%,,71,-0.1,,,68,9,27
tract,26161984000,47,8.70%,,86,-0.8,,,22,9,0
tract,26163500100,3369,8.70%,3,89,0.2,200,100,94,39,96
tract,26163500500,1289,8.70%,2,87,0.1,300,700,83,56,94
tract,26089970400,1538,8.70%,,4,-0.4,,,17,80,16
tract,26091060301,4699,8.70%,,35,-0.3,,,16,5,5
tract,26115830900,2656,8.70%,,63,-0.4,0,0,17,2,1
tract,26115833100,5416,8.70%,,73,-0.3,0,0,32,3,13
tract,26099258800,3583,8.70%,,91,0,100,100,59,36,86
tract,26099260000,3185,8.70%,,77,-0.4,0,0,27,31,42
tract,26099261900,3081,8.70%,,89,0,0,0,60,20,52
tract,26099262700,5046,8.70%,,94,-0.2,0,0,59,36,64
tract,26163581500,2229,8.70%,,94,-0.2,0,200,30,3,17
tract,26163583400,5131,8.70%,,82,-0.2,0,0,34,25,28
tract,26163571700,2396,8.70%,,75,0.1,0,0,80,84,34
tract,26163536200,2315,8.70%,2,80,0.3,900,400,68,4,94
tract,26033970400,2535,8.60%,,0,0,,,62,32,51
tract,26065002101,2110,8.60%,3.1,48,0.1,,,79,34,81
tract,26091060100,3817,8.60%,,58,-0.3,,,44,55,11
tract,26159010200,6087,8.60%,,14,-0.2,,,48,77,43
tract,26065006402,3236,8.60%,,41,-0.3,,,28,64,13
tract,26005030401,7764,8.60%,,62,-0.2,,,17,4,3
tract,26009960100,2659,8.60%,,6,-0.2,,,33,37,5
tract,26027002200,5907,8.60%,,74,-0.2,,,14,11,11
tract,26027001200,2980,8.60%,,85,-0.4,,,12,41,20
tract,26049011902,2940,8.60%,,27,-0.3,,,47,32,15
tract,26049010603,5317,8.60%,,16,-0.2,,,34,62,21
tract,26057000600,4300,8.60%,,38,0.1,,,56,84,33
tract,26099256200,1691,8.60%,3,85,0,0,100,84,50,55
tract,26061001000,2955,8.60%,,4,-0.1,,,26,52,8
tract,26099247602,4561,8.60%,,62,0,0,0,29,79,30
tract,26099225800,6975,8.60%,,61,-0.2,0,0,62,54,40
tract,26099240500,2713,8.60%,,66,-0.3,0,0,40,54,39
tract,26125124000,5472,8.60%,,39,-0.3,0,0,47,83,20
tract,26147631600,2455,8.60%,,37,-0.1,,,18,93,14
tract,26147642000,5327,8.60%,,44,-0.2,,,34,40,6
tract,26125131300,5102,8.60%,,50,-0.3,300,200,33,67,9
tract,26163523300,3350,8.60%,4,92,0,200,200,85,70,92
tract,26161413000,3583,8.60%,,82,0.1,,,74,49,75
tract,26155031301,4162,8.60%,,31,-0.3,,,13,24,8
tract,26155031402,3706,8.60%,,31,-0.3,,,22,27,5
tract,26147650100,4027,8.60%,,40,-0.2,,,38,45,18
tract,26147658500,3757,8.60%,,31,-0.4,,,14,32,4
tract,26087340000,4026,8.60%,,36,-0.4,,,14,32,1
tract,26087341000,4763,8.60%,,33,-0.4,,,36,24,9
tract,26111291102,9596,8.60%,,44,-0.2,,,28,58,16
tract,26163599100,4292,8.60%,,70,-0.3,0,0,37,22,37
tract,26115831000,3133,8.60%,,63,-0.3,0,0,18,29,20
tract,26099261200,2647,8.60%,,82,-0.2,0,0,43,11,36
tract,26099262500,4961,8.60%,,86,0,0,0,68,62,61
tract,26163551400,4206,8.60%,,83,0,0,0,69,56,80
tract,26163567202,2765,8.60%,,74,-0.1,0,0,69,52,58
tract,26033980200,1262,8.50%,,0,0.2,,,,,82
tract,26049011212,5898,8.50%,4,41,-0.1,,,57,72,36
tract,26065000100,1896,8.50%,3.1,56,0.1,,,69,25,61
tract,26099255700,1848,8.50%,3,79,0,0,0,54,75,44
tract,26099258500,1981,8.50%,,84,-0.4,100,0,52,19,81
tract,26081011401,2338,8.50%,,65,-0.3,,,25,39,23
tract,26099240300,3929,8.50%,,63,-0.1,0,0,20,76,43
tract,26125130600,3152,8.50%,,59,-0.2,400,200,7,5,12
tract,26163516400,855,8.50%,3.9,91,0,1900,2900,65,86,84
tract,26163585800,4258,8.50%,,75,-0.1,0,0,75,76,70
tract,26163540900,3477,8.50%,,71,0.1,600,800,65,44,98
tract,26163580600,2852,8.50%,3.5,96,0,0,0,63,41,28
tract,26065006002,3681,8.50%,,33,-0.3,,,26,58,9
tract,26065006200,5690,8.50%,,33,-0.4,,,24,14,7
tract,26075000400,3995,8.50%,2.9,35,0,,,77,46,36
tract,26021021400,4350,8.50%,,32,-0.1,,,54,86,50
tract,26027001800,8250,8.50%,,80,-0.5,,,8,11,10
tract,26043950700,3511,8.50%,,64,-0.1,,,25,28,6
tract,26055551300,7791,8.50%,,11,0.1,,,64,100,12
tract,26099255900,1796,8.50%,3,84,0,0,0,65,77,47
tract,26065001703,4323,8.50%,2.9,46,0,,,51,68,63
tract,26121003600,6529,8.50%,,62,-0.3,,,40,20,25
tract,26145010304,5127,8.50%,,54,0,,,76,41,60
tract,26099216000,4010,8.50%,,45,-0.5,0,0,9,27,5
tract,26125131600,2770,8.50%,,48,-0.4,400,600,26,6,11
tract,26165380400,4717,8.50%,,5,-0.3,,,36,35,11
tract,26125145700,3135,8.50%,,61,-0.2,0,100,41,72,52
tract,26163524800,2632,8.50%,3,94,0,0,100,55,26,97
tract,26081010101,5794,8.50%,,24,-0.2,,,24,42,7
tract,26081014300,3312,8.50%,3,58,0,,,68,31,59
tract,26087339000,3121,8.50%,,28,-0.4,,,39,27,31
tract,26163598000,3186,8.50%,,69,-0.4,0,0,19,56,24
tract,26111291300,4454,8.50%,,55,-0.3,,,29,46,8
tract,26163546700,2705,8.50%,,78,0.3,400,800,90,36,95
tract,26163551300,3630,8.50%,,81,0,0,0,36,91,68
tract,26163568200,4089,8.50%,,78,-0.3,0,0,27,7,28
tract,26163569700,4574,8.50%,3.5,74,-0.2,0,0,60,19,24
tract,26163570100,4311,8.50%,3,75,0.2,0,100,93,38,84
tract,26163572400,1407,8.50%,3.5,76,-0.3,0,0,58,13,3
tract,26163580800,1455,8.50%,3.8,98,-0.3,0,100,40,30,12
tract,26139022900,6205,8.50%,,53,-0.2,,,38,41,25
tract,26017285400,3507,8.40%,,79,-0.4,,,21,44,10
tract,26065002600,1998,8.40%,2.9,51,0.1,,,69,14,72
tract,26099245300,4404,8.40%,,60,-0.2,0,0,48,28,30
tract,26101000800,3236,8.40%,,42,0,,,26,39,31
tract,26081000800,2717,8.40%,3.3,82,0.3,,,99,45,56
tract,26137950500,3646,8.40%,,39,-0.2,,,40,18,9
tract,26121002200,3789,8.40%,,96,-0.1,,,45,61,46
tract,26125132500,3556,8.40%,,54,-0.3,500,700,25,77,17
tract,26125161700,3170,8.40%,,67,-0.2,100,0,42,4,87
tract,26163530200,4298,8.40%,3,82,0.2,500,700,81,86,90
tract,26163542800,2800,8.40%,2,76,-0.1,200,300,56,31,96
tract,26163556400,4346,8.40%,,69,-0.6,0,0,12,6,27
tract,26021011100,5536,8.40%,,32,-0.4,,,40,29,3
tract,26021020400,3899,8.40%,,38,-0.2,,,36,50,15
tract,26021001700,4683,8.40%,,27,-0.4,,,25,17,18
tract,26045021301,2911,8.40%,,45,-0.1,,,36,60,18
tract,26049010504,3804,8.40%,,21,-0.2,,,39,37,57
tract,26099251000,1667,8.40%,2.8,73,-0.1,0,0,37,7,16
tract,26099247200,6845,8.40%,,57,-0.5,0,0,12,10,23
tract,26099210000,4514,8.40%,,39,-0.4,0,0,58,70,18
tract,26121002400,3390,8.40%,,95,-0.2,,,32,58,24
tract,26099228100,1641,8.40%,,66,0.1,0,0,75,86,36
tract,26099231000,4397,8.40%,,70,-0.3,0,0,56,76,26
tract,26125124500,6174,8.40%,,39,-0.1,0,0,60,91,11
tract,26125134600,4087,8.40%,,64,-0.4,300,200,23,7,15
tract,26163523800,4683,8.40%,3.9,93,0.2,200,200,94,53,82
tract,26077002202,8281,8.40%,,69,-0.4,,,36,22,27
tract,26155030500,3289,8.40%,,22,0,,,41,11,4
tract,26125145100,2375,8.40%,,61,-0.3,100,100,39,11,23
tract,26081002600,3871,8.40%,,61,0.1,,,97,92,85
tract,26081004600,5693,8.40%,3,62,0.1,,,84,83,73
tract,26081011101,4668,8.40%,,50,-0.2,,,25,35,15
tract,26125175000,3132,8.40%,4,86,0,0,0,49,61,41
tract,26107960300,2947,8.40%,,24,-0.2,,,27,20,14
tract,26115830100,3422,8.40%,,66,-0.3,0,0,26,24,26
tract,26115831400,6856,8.40%,,68,-0.1,0,0,42,75,15
tract,26115832700,2632,8.40%,,68,-0.1,0,0,41,14,0
tract,26163520400,1941,8.40%,4,85,0.5,2500,1700,97,86,86
tract,26139025100,7405,8.40%,,63,0,,,83,86,61
tract,26139025700,5419,8.40%,,58,-0.1,,,53,71,54
tract,26099261100,4778,8.40%,,83,-0.1,0,0,69,54,53
tract,26099261500,3409,8.40%,,84,-0.1,0,0,23,22,54
tract,26163542700,939,8.40%,2,76,-0.1,200,100,56,31,96
tract,26163558300,1739,8.40%,,74,-0.2,0,0,49,48,28
tract,26163575400,2976,8.40%,3,0,-0.1,,,,,
tract,26163575500,3427,8.40%,3,84,-0.2,0,0,32,8,38
tract,26163581600,5978,8.40%,,88,-0.2,100,0,46,72,52
tract,26163583300,2662,8.40%,,80,-0.1,0,0,36,0,43
tract,26099218000,8230,8.40%,,40,-0.1,0,0,55,74,52
tract,26163535000,2741,8.40%,3,84,0,700,700,82,46,100
tract,26065006100,4522,8.30%,,34,-0.3,,,24,57,23
tract,26099258900,2799,8.30%,3.2,94,-0.1,100,0,62,25,73
tract,26081014100,1931,8.30%,3,61,-0.1,,,51,25,71
tract,26099225900,5249,8.30%,,60,-0.3,0,0,26,39,11
tract,26099241400,3182,8.30%,,66,-0.3,0,0,19,24,18
tract,26125144400,4963,8.30%,,59,-0.2,0,0,33,49,35
tract,26145001400,2913,8.30%,2.6,47,0,,,53,7,54
tract,26163555600,2799,8.30%,,74,-0.2,0,0,30,22,71
tract,26067032100,2030,8.30%,,44,0,,,74,82,50
tract,26005031800,4691,8.30%,,55,-0.2,,,28,73,20
tract,26021011200,3091,8.30%,,41,-0.3,,,9,33,13
tract,26025002300,3643,8.30%,,82,-0.2,,,19,56,26
tract,26025002400,3032,8.30%,,91,-0.3,,,33,37,25
tract,26037010701,2054,8.30%,,34,-0.3,,,24,20,10
tract,26045020602,3334,8.30%,,52,-0.3,,,39,35,22
tract,26045021202,3644,8.30%,,47,-0.4,,,13,26,9
tract,26045021302,3269,8.30%,,45,-0.1,,,45,78,10
tract,26043950500,3015,8.30%,,67,0,,,28,38,12
tract,26045020402,2870,8.30%,,34,-0.4,,,13,18,13
tract,26047970500,4729,8.30%,,4,-0.3,,,29,57,5
tract,26049001200,3484,8.30%,2.4,29,0.1,,,57,28,95
tract,26057000200,4898,8.30%,,39,-0.3,,,15,43,10
tract,26059050900,4859,8.30%,,47,-0.2,,,28,48,7
tract,26049013110,2238,8.30%,,36,-0.5,,,16,3,20
tract,26099250600,2818,8.30%,2.9,70,-0.2,0,0,42,31,10
tract,26099255000,4458,8.30%,,71,0,0,0,68,30,53
tract,26145011300,7133,8.30%,,40,-0.3,,,14,22,8
tract,26099220002,4727,8.30%,,42,-0.1,0,0,43,68,22
tract,26099221500,1394,8.30%,,42,-0.5,0,0,31,2,14
tract,26103002400,3005,8.30%,,6,0.1,,,46,34,33
tract,26077000201,2171,8.30%,3.1,74,0.2,,,71,85,45
tract,26077001100,1931,8.30%,2.8,75,0.1,,,72,37,64
tract,26099241900,5138,8.30%,,62,-0.1,0,0,55,77,42
tract,26099244000,2243,8.30%,,60,-0.4,0,0,9,2,19
tract,26125141600,4485,8.30%,2.8,61,0.1,0,0,84,91,88
tract,26125142500,1948,8.30%,3.4,63,-0.1,0,0,65,52,85
tract,26125157500,3117,8.30%,,63,-0.1,0,0,60,85,50
tract,26139020100,5393,8.30%,,52,-0.3,,,25,46,13
tract,26139020501,3334,8.30%,,64,-0.3,,,29,84,18
tract,26139021603,4397,8.30%,,49,-0.3,,,7,27,10
tract,26163595200,2813,8.30%,,84,-0.2,0,0,29,52,22
tract,26091062100,4210,8.30%,,63,-0.2,,,21,43,9
tract,26117971000,6704,8.30%,,32,-0.1,,,54,93,37
tract,26163538500,4658,8.30%,1,80,0,600,1000,80,14,95
tract,26163555100,4542,8.30%,,73,-0.1,0,0,48,31,62
tract,26163583700,3612,8.30%,,77,-0.2,0,0,48,6,32
tract,26163584000,4359,8.30%,,83,-0.2,0,0,49,41,40
tract,26049010810,4880,8.30%,,23,-0.3,,,36,57,70
tract,26099263900,3625,8.30%,3,96,-0.1,0,0,85,62,64
tract,26023950900,2117,8.20%,,46,-0.3,,,19,49,0
tract,26045021402,4634,8.20%,,42,-0.4,,,8,51,12
tract,26099261600,1453,8.20%,,85,-0.2,0,0,55,13,25
tract,26099232100,6466,8.20%,,74,-0.3,0,0,53,34,44
tract,26139020200,4396,8.20%,,54,-0.1,,,67,78,21
tract,26163564900,1904,8.20%,,82,0.1,0,0,76,73,60
tract,26163565900,2613,8.20%,,76,-0.2,0,0,21,35,48
tract,26163566600,1967,8.20%,,79,-0.3,0,0,37,40,41
tract,26005030901,3176,8.20%,,15,-0.3,,,54,52,33
tract,26015011400,6350,8.20%,,65,-0.4,,,46,11,18
tract,26029000200,1302,8.20%,,5,-0.2,,,21,33,5
tract,26029000400,2775,8.20%,,5,-0.3,,,25,72,13
tract,26049010604,2651,8.20%,,16,-0.3,,,26,51,22
tract,26049013002,4033,8.20%,,37,-0.3,,,45,51,6
tract,26049013113,3895,8.20%,,37,-0.3,,,22,51,4
tract,26055550200,4507,8.20%,,6,-0.4,,,17,24,9
tract,26099250200,2700,8.20%,3,68,-0.2,0,0,16,6,11
tract,26121003800,3483,8.20%,,65,-0.2,,,9,67,17
tract,26099224200,8915,8.20%,,55,-0.1,0,0,58,45,41
tract,26099232400,5769,8.20%,,75,-0.2,0,0,60,62,50
tract,26147633100,2771,8.20%,,38,-0.4,,,13,30,1
tract,26147634600,5503,8.20%,,47,-0.2,,,46,42,14
tract,26147637300,2143,8.20%,,71,-0.1,,,37,26,8
tract,26147640200,2402,8.20%,,45,-0.4,,,18,30,10
tract,26077001701,3765,8.20%,1.8,67,0,,,62,75,41
tract,26099242500,6306,8.20%,,60,-0.3,0,0,38,39,29
tract,26125132100,6090,8.20%,,61,-0.4,300,200,11,57,10
tract,26077002905,8337,8.20%,,53,-0.2,,,61,53,46
tract,26081000200,2206,8.20%,3,60,-0.2,,,56,15,26
tract,26125197400,1917,8.20%,,73,0,0,0,54,68,32
tract,26081001700,4604,8.20%,2.1,61,-0.1,,,42,92,23
tract,26081012703,5202,8.20%,,61,-0.2,,,58,89,73
tract,26081014000,7043,8.20%,3,56,-0.1,,,51,74,54
tract,26081014701,4505,8.20%,,62,0,,,72,77,70
tract,26089970600,5284,8.20%,,11,-0.3,,,27,50,11
tract,26091061400,3581,8.20%,,56,0.1,,,65,65,40
tract,26093722100,3174,8.20%,,39,-0.3,,,27,59,4
tract,26093741601,1902,8.20%,,54,0,,,56,90,12
tract,26093742201,2973,8.20%,,54,-0.3,,,35,72,11
tract,26093743700,2517,8.20%,,84,-0.3,,,15,18,2
tract,26163553600,2272,8.20%,3.2,83,0,600,1000,78,55,91
tract,26163557900,4726,8.20%,,73,-0.4,0,0,15,17,22
tract,26163564000,1963,8.20%,,75,0,0,0,58,89,62
tract,26163564200,4132,8.20%,,74,-0.3,0,0,30,69,38
tract,26081010802,6277,8.10%,,26,-0.4,,,29,46,21
tract,26099230700,5186,8.10%,,70,-0.4,0,0,57,10,25
tract,26099231200,3586,8.10%,,75,-0.2,0,0,39,54,45
tract,26121003900,1866,8.10%,,57,-0.4,,,27,36,23
tract,26125166100,3222,8.10%,,65,-0.5,0,0,30,55,53
tract,26125166900,3437,8.10%,,66,-0.4,0,0,22,31,51
tract,26163521100,1949,8.10%,4,88,0.1,100,100,71,70,79
tract,26065005900,5368,8.10%,,33,-0.3,,,39,25,11
tract,26065006001,3393,8.10%,,31,-0.3,,,26,34,7
tract,26073940500,2708,8.10%,,61,0.2,,,78,57,29
tract,26075000500,1750,8.10%,2.1,38,0,,,52,62,49
tract,26021000800,5208,8.10%,,6,-0.3,,,14,70,25
tract,26029000300,2226,8.10%,,5,-0.3,,,9,38,10
tract,26029001200,3161,8.10%,,6,-0.3,,,24,73,10
tract,26055550102,3321,8.10%,,10,-0.5,,,10,54,20
tract,26121003500,4167,8.10%,,72,-0.3,,,28,40,9
tract,26123971200,4631,8.10%,,47,-0.1,,,46,81,25
tract,26147640100,2094,8.10%,,54,-0.3,,,20,19,4
tract,26077001905,5822,8.10%,,67,-0.1,,,34,88,35
tract,26081003800,5249,8.10%,3,59,0.2,,,96,69,89
tract,26163525700,5372,8.10%,4,93,0.3,100,100,99,41,88
tract,26139020900,4413,8.10%,,66,-0.1,,,48,71,12
tract,26139021301,3335,8.10%,,56,-0.4,,,25,48,22
tract,26163587000,3889,8.10%,,89,0,0,0,72,79,48
tract,26081012901,5054,8.10%,3,60,-0.1,,,78,80,65
tract,26081014703,5217,8.10%,,61,0,,,68,99,70
tract,26161426000,4248,8.10%,,44,-0.4,,,13,33,17
tract,26159010900,7614,8.10%,,27,-0.2,,,18,24,16
tract,26115830200,5925,8.10%,,65,-0.4,0,0,9,31,9
tract,26149041102,2963,8.10%,,76,-0.3,,,24,28,7
tract,26115831200,6800,8.10%,,66,-0.3,0,0,25,15,21
tract,26099260100,2910,8.10%,,80,-0.1,0,0,53,30,40
tract,26097950100,1403,8.10%,,0,-0.1,,,28,25,3
tract,26163554800,3382,8.10%,,73,-0.2,0,0,58,18,77
tract,26163565200,5321,8.10%,,74,0,0,0,35,74,59
tract,26163568300,3845,8.10%,,79,-0.1,0,0,54,47,66
tract,26163574600,4411,8.10%,2,77,-0.4,0,0,47,11,16
tract,26163574900,1600,8.10%,3,79,-0.1,0,0,51,45,22
tract,26163576000,1878,8.10%,,0,0,,,,,
tract,26163580500,2803,8.10%,2.6,95,-0.3,0,0,13,15,4
tract,26045020902,4111,8.00%,,62,-0.1,,,23,64,14
tract,26049011714,3033,8.00%,,27,-0.4,,,16,0,16
tract,26099254000,1641,8.00%,,70,-0.3,0,0,27,42,11
tract,26103001600,2090,8.00%,,7,-0.1,,,18,37,12
tract,26099223500,1552,8.00%,,45,-0.4,0,0,4,4,6
tract,26121003400,4227,8.00%,,71,-0.3,,,23,33,23
tract,26125175200,3910,8.00%,3.9,83,0.1,100,0,81,10,52
tract,26163523400,2112,8.00%,3.4,90,0.2,300,100,84,52,86
tract,26065004700,2934,8.00%,,34,-0.1,,,17,67,26
tract,26065007000,5832,8.00%,2.7,48,-0.1,,,46,19,52
tract,26075000800,4633,8.00%,1.5,40,-0.1,,,53,12,31
tract,26045020103,4077,8.00%,,62,0,,,60,75,48
tract,26047970600,5739,8.00%,,5,-0.4,,,4,49,4
tract,26057000500,5199,8.00%,,39,0.1,,,57,99,21
tract,26099214000,2855,8.00%,,50,-0.2,0,0,34,55,15
tract,26103001200,5532,8.00%,,4,-0.2,,,23,57,12
tract,26125122400,7017,8.00%,,47,-0.4,0,0,19,22,20
tract,26125127500,6973,8.00%,,55,-0.4,0,0,31,26,45
tract,26125128500,3191,8.00%,,62,-0.3,0,0,23,33,39
tract,26077001801,4051,8.00%,,94,0.1,,,48,80,40
tract,26099242100,2565,8.00%,,61,0,0,0,68,40,62
tract,26077006601,4491,8.00%,,58,-0.4,,,8,22,8
tract,26125144600,3732,8.00%,,61,-0.2,0,0,51,37,23
tract,26137950200,6045,8.00%,,31,-0.1,,,36,57,7
tract,26163592000,4492,8.00%,,70,-0.4,0,0,23,9,28
tract,26087342100,3545,8.00%,,26,-0.3,,,13,12,6
tract,26115830700,3725,8.00%,,55,-0.2,,,44,71,24
tract,26163544000,2634,8.00%,4,74,0.2,200,700,78,78,95
tract,26163561600,3665,8.00%,,80,-0.2,0,0,38,38,15
tract,26163576400,3541,8.00%,2,86,-0.3,0,0,21,50,34
tract,26045020102,3162,8.00%,,53,-0.1,,,47,34,56
tract,26163532600,1969,8.00%,3,84,0.3,200,200,84,84,90
tract,26061000600,3844,7.90%,,6,0,,,53,78,9
tract,26099247400,2488,7.90%,,58,-0.5,0,0,1,25,8
tract,26081013500,5175,7.90%,3,55,0.1,,,81,72,68
tract,26147640600,2365,7.90%,,39,-0.3,,,30,27,10
tract,26163552300,3204,7.90%,3.8,85,0.1,300,100,89,50,68
tract,26065006700,4304,7.90%,2.3,51,0.2,,,71,85,65
tract,26065006800,4289,7.90%,2.9,60,0.1,,,64,89,69
tract,26067031500,5687,7.90%,,27,-0.3,,,29,65,17
tract,26005030300,7796,7.90%,,47,-0.4,,,19,14,4
tract,26005030500,7850,7.90%,,90,-0.4,,,17,19,26
tract,26045020601,3987,7.90%,,47,-0.1,,,31,79,23
tract,26045020202,4742,7.90%,,43,0,,,61,45,72
tract,26047970800,4181,7.90%,,4,-0.1,,,31,77,22
tract,26049012801,4584,7.90%,,25,-0.3,,,9,20,8
tract,26099250500,2106,7.90%,,71,-0.3,0,100,13,17,5
tract,26121002300,5661,7.90%,,99,-0.3,,,18,24,12
tract,26121002700,7822,7.90%,,80,-0.3,,,18,38,23
tract,26145010600,2235,7.90%,,46,0.1,,,27,34,55
tract,26103001100,1544,7.90%,,4,-0.4,,,18,16,24
tract,26147630400,5809,7.90%,,41,-0.3,,,21,27,4
tract,26099230900,7652,7.90%,,70,-0.3,0,0,52,63,2
tract,26147641000,3447,7.90%,,38,-0.4,,,14,20,2
tract,26165380800,3219,7.90%,,7,0.1,,,43,84,17
tract,26125193600,2491,7.90%,,65,-0.4,0,0,18,1,25
tract,26081001000,4724,7.90%,3,58,-0.1,,,59,76,62
tract,26081001101,5962,7.90%,,54,0.2,,,71,80,69
tract,26125141400,4626,7.90%,2.9,63,-0.1,0,0,88,61,87
tract,26125145400,4323,7.90%,4,62,-0.2,0,0,47,66,45
tract,26081010401,5295,7.90%,,41,-0.4,,,28,29,15
tract,26125162500,3460,7.90%,3,68,0,0,0,59,23,84
tract,26125171300,3356,7.90%,,75,-0.2,0,0,61,14,86
tract,26163594200,2476,7.90%,,79,-0.5,0,0,8,21,14
tract,26081013600,2464,7.90%,2.8,58,-0.1,,,69,53,66
tract,26081014200,3614,7.90%,2.9,66,0,,,61,78,65
tract,26125175300,4314,7.90%,3.7,84,-0.1,0,0,59,25,40
tract,26161432000,4947,7.90%,,38,-0.4,,,13,40,11
tract,26163500600,2891,7.90%,2.7,89,0.1,100,400,87,25,99
tract,26163507300,1942,7.90%,3.5,83,0.1,1500,2000,58,24,98
tract,26091061500,5974,7.90%,,54,0.1,,,67,79,36
tract,26093713500,3812,7.90%,,50,-0.3,,,6,10,14
tract,26115833000,4458,7.90%,,71,-0.3,,,9,20,3
tract,26093725000,4950,7.90%,,70,0,,,52,79,16
tract,26093733100,1959,7.90%,,42,-0.4,,,6,27,1
tract,26115833900,5172,7.90%,,79,-0.4,,,6,10,20
tract,26163589300,3968,7.90%,,72,-0.3,0,0,22,39,21
tract,26099251300,2273,7.80%,,77,-0.2,0,0,15,21,11
tract,26077001000,6259,7.80%,3,85,0.1,,,48,84,79
tract,26093733602,3827,7.80%,,43,-0.4,,,28,44,12
tract,26093742402,3828,7.80%,,63,-0.3,,,39,55,20
tract,26099221100,7116,7.80%,,50,-0.4,0,0,15,68,21
tract,26125144800,2827,7.80%,,60,-0.2,100,100,66,43,45
tract,26065003601,3843,7.80%,3,43,-0.1,,,69,21,79
tract,26163557100,2482,7.80%,,69,-0.3,0,0,55,60,43
tract,26005032100,4724,7.80%,,61,-0.3,,,14,39,20
tract,26033970800,4136,7.80%,,5,-0.2,,,26,36,27
tract,26037010104,3628,7.80%,,39,-0.3,,,37,50,49
tract,26045021002,4167,7.80%,,58,-0.4,,,12,28,32
tract,26047970400,2780,7.80%,,4,-0.2,,,17,71,23
tract,26049003000,4404,7.80%,2,37,-0.1,,,62,39,66
tract,26049010201,1657,7.80%,,27,-0.3,,,18,17,2
tract,26099251500,2027,7.80%,,80,-0.2,0,0,47,34,24
tract,26099251600,3038,7.80%,3,76,-0.2,0,0,18,49,22
tract,26061000500,3574,7.80%,,7,-0.2,,,34,84,5
tract,26065002800,2709,7.80%,3,64,-0.1,,,51,21,28
tract,26099225300,4747,7.80%,,58,-0.2,0,0,50,60,22
tract,26103001700,2429,7.80%,,7,0.1,,,24,59,5
tract,26125123000,2454,7.80%,,40,-0.4,0,0,47,28,12
tract,26125130300,3904,7.80%,,55,-0.4,600,500,30,64,29
tract,26077005502,5535,7.80%,2.6,74,-0.1,,,64,68,65
tract,26081010402,4321,7.80%,,41,-0.1,,,42,33,8
tract,26139020504,2814,7.80%,,76,-0.2,,,23,60,14
tract,26139021500,8810,7.80%,,53,-0.2,,,22,79,9
tract,26139021801,4611,7.80%,,90,-0.2,,,26,69,20
tract,26163594300,3021,7.80%,,78,-0.3,0,0,18,13,19
tract,26149040100,3684,7.80%,,77,-0.2,,,18,32,25
tract,26163500300,1900,7.80%,3,91,0.1,400,500,86,30,95
tract,26089970300,2656,7.80%,,7,-0.3,,,19,30,14
tract,26163595100,5469,7.80%,,86,-0.1,0,0,24,54,44
tract,26093742401,1257,7.80%,,63,-0.3,,,39,55,20
tract,26163551100,4910,7.80%,1,77,-0.7,0,0,16,47,17
tract,26163567300,4405,7.80%,,73,-0.3,0,0,35,41,37
tract,26163567900,2979,7.80%,,77,-0.3,0,0,19,19,32
tract,26163551500,2467,7.80%,,84,-0.2,0,0,54,28,81
tract,26037010500,3685,7.70%,,34,-0.3,,,16,27,8
tract,26099256500,1490,7.70%,,81,-0.2,0,0,60,46,46
tract,26099261300,2876,7.70%,,84,-0.3,0,0,47,16,35
tract,26091062200,2556,7.70%,,64,-0.2,,,49,16,5
tract,26093710500,1862,7.70%,,42,-0.5,,,9,1,10
