Geo Type,Geo ID,Population,Cancer,Historic Redlining Score,Hazardous Waste Proximity,Routine Checkup,Mammogram,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status,Household Characteristics
tract,26125120300,3445,10.4%,,20,79.2%,75.6%,21,41,2,27
tract,26103002000,2420,10.4%,,0,79.5%,73.2%,76,73,13,63
tract,26103002500,2529,10.4%,,0,79.5%,74.6%,35,53,6,96
tract,26125127300,4572,10.4%,,16,78.6%,73.5%,16,38,22,15
tract,26125128100,2824,10.4%,,38,79.5%,76.8%,7,7,13,13
tract,26147645000,3337,10.4%,,27,79.2%,75.3%,20,27,0,65
tract,26077002101,8028,10.4%,,63,79.1%,80.3%,34,15,7,24
tract,26125192000,6030,10.4%,,50,79.5%,78.4%,6,15,29,62
tract,26155031402,3706,10.4%,,16,79.0%,77.4%,22,27,5,28
tract,26157000400,3303,10.4%,,0,78.3%,75.6%,30,76,21,52
tract,26125166200,2876,10.4%,,50,79.8%,81.0%,13,3,36,19
tract,26163590600,2401,10.4%,,50,79.1%,77.3%,29,13,25,29
tract,26105950700,3033,10.4%,,0,79.2%,73.9%,69,57,14,67
tract,26161415800,3761,10.4%,,65,77.7%,79.2%,2,6,46,18
tract,26159011800,6850,10.4%,,16,79.4%,76.7%,41,78,15,63
tract,26113960100,4025,10.4%,,0,78.6%,72.3%,73,71,4,78
tract,26115832600,2095,10.4%,,27,78.8%,70.6%,37,14,25,38
tract,26115833000,4458,10.4%,,22,79.0%,74.1%,9,20,3,10
tract,26093742201,2973,10.4%,,52,79.3%,79.1%,35,72,11,21
tract,26163557700,4188,10.4%,,72,78.6%,81.4%,13,14,2,7
tract,26021020600,3248,10.3%,,47,79.6%,78.5%,28,26,24,58
tract,26049012704,4339,10.3%,,32,79.1%,80.2%,42,6,20,15
tract,26053950500,2081,10.3%,,0,79.3%,73.8%,64,37,1,34
tract,26099250400,1495,10.3%,,54,79.2%,78.4%,33,14,31,62
tract,26077002004,3942,10.3%,,63,79.0%,80.7%,19,16,27,44
tract,26081001102,4369,10.3%,,76,80.8%,77.5%,42,53,43,92
tract,26093743900,3573,10.3%,,16,79.2%,81.1%,14,3,3,5
tract,26139022106,3761,10.3%,,53,81.8%,76.7%,1,8,26,23
tract,26117970400,3234,10.3%,,30,78.3%,75.0%,75,81,22,56
tract,26145012100,3955,10.3%,,34,79.8%,79.0%,29,16,7,32
tract,26163564300,2528,10.3%,,69,79.8%,78.4%,7,36,36,67
tract,26005031100,6693,10.3%,,34,78.9%,76.7%,33,38,12,51
tract,26073000200,4997,10.3%,,21,77.7%,74.1%,57,60,16,48
tract,26011970500,4068,10.3%,,0,79.0%,73.9%,57,92,12,61
tract,26021010300,4642,10.3%,,20,79.3%,71.9%,72,76,32,81
tract,26017285300,4497,10.3%,,23,78.5%,79.4%,20,27,6,53
tract,26017286200,4874,10.3%,,0,78.6%,78.8%,36,26,3,7
tract,26029000200,1302,10.3%,,27,79.2%,78.1%,21,33,5,22
tract,26025003700,4734,10.3%,,20,78.2%,74.5%,51,37,20,36
tract,26025003800,4236,10.3%,,34,78.6%,79.1%,18,25,20,11
tract,26035000900,1899,10.3%,,0,79.0%,70.3%,88,84,8,55
tract,26035001000,3279,10.3%,,0,77.5%,73.1%,85,18,3,67
tract,26045020404,4353,10.3%,,30,78.7%,76.8%,35,81,13,51
tract,26049012603,2607,10.3%,,0,78.2%,76.1%,54,60,10,30
tract,26059050400,4357,10.3%,,17,78.5%,75.0%,66,78,6,82
tract,26059050900,4859,10.3%,,23,78.1%,78.0%,28,48,7,36
tract,26059051000,4234,10.3%,,14,78.1%,75.6%,36,62,9,20
tract,26059051100,3769,10.3%,,0,78.3%,73.8%,68,55,2,55
tract,26101000100,3448,10.3%,,0,78.9%,72.8%,79,61,8,70
tract,26121002500,7516,10.3%,,57,79.1%,78.5%,3,32,13,43
tract,26103001200,5532,10.3%,,13,79.9%,78.6%,23,57,12,23
tract,26125131300,5102,10.3%,,24,78.9%,75.8%,33,67,9,23
tract,26125137800,3313,10.3%,,60,79.5%,79.4%,3,7,30,25
tract,26155030100,5845,10.3%,,14,78.6%,75.1%,31,49,6,31
tract,26125143500,5521,10.3%,,52,78.5%,74.1%,19,7,20,25
tract,26133970100,4038,10.3%,,0,78.8%,73.6%,71,75,12,59
tract,26125153100,2227,10.3%,2.3,68,79.4%,81.0%,4,10,19,6
tract,26137950600,4740,10.3%,,0,79.1%,75.8%,36,27,5,23
tract,26157000800,3769,10.3%,,0,78.7%,76.5%,33,19,9,31
tract,26081011302,6426,10.3%,,51,78.7%,77.6%,35,37,16,59
tract,26081013200,6915,10.3%,,73,78.5%,75.5%,20,48,21,39
tract,26163595000,3855,10.3%,4.0,77,78.5%,79.4%,41,74,20,58
tract,26115830900,2656,10.3%,,20,78.9%,72.0%,17,2,1,31
tract,26149041300,6693,10.3%,,14,77.8%,75.6%,57,96,9,37
tract,26093741100,2355,10.3%,,55,78.2%,78.9%,54,65,4,18
tract,26093742500,2338,10.3%,,44,79.5%,79.6%,6,0,0,22
tract,26099260000,3185,10.3%,,73,79.5%,79.4%,27,31,42,32
tract,26099260400,4151,10.3%,,78,79.8%,81.3%,24,68,28,66
tract,26093743400,3892,10.3%,,32,79.6%,80.4%,3,3,6,14
tract,26163558100,3393,10.3%,,73,79.0%,81.0%,15,28,32,62
tract,26163580700,3768,10.3%,3.0,77,78.6%,73.8%,47,60,25,37
tract,26051000700,4731,10.3%,,0,78.1%,74.3%,75,95,9,85
tract,26073000100,3406,10.2%,,0,78.0%,72.7%,59,51,28,59
tract,26037010802,3859,10.2%,,36,79.4%,77.3%,9,79,15,69
tract,26041970600,4011,10.2%,,0,78.9%,76.0%,43,86,10,54
tract,26055551000,4312,10.2%,,34,81.0%,79.2%,35,52,13,17
tract,26103002200,3250,10.2%,,0,79.1%,77.9%,16,14,3,12
tract,26081001800,6205,10.2%,,72,77.9%,76.6%,18,48,9,47
tract,26087333000,3104,10.2%,,16,77.6%,76.4%,25,41,7,22
tract,26099215000,5765,10.2%,,31,79.7%,80.4%,3,15,7,23
tract,26125188100,2422,10.2%,2.4,69,79.2%,79.2%,0,8,12,20
tract,26115833800,4953,10.2%,,39,78.6%,71.4%,33,11,14,49
tract,26125157700,2373,10.2%,,45,80.9%,77.4%,40,16,63,92
tract,26161444000,6477,10.2%,,26,75.0%,76.5%,12,16,14,36
tract,26155030200,3428,10.2%,,22,78.4%,76.4%,46,17,6,63
tract,26163594500,3328,10.2%,,68,79.2%,79.1%,10,26,24,16
tract,26075005301,5029,10.2%,2.6,51,77.9%,78.9%,46,34,37,38
tract,26015010401,3401,10.2%,,0,78.7%,76.1%,50,17,12,52
tract,26021020100,2440,10.2%,,19,79.0%,77.9%,51,11,22,13
tract,26015010600,6736,10.2%,,20,78.5%,76.3%,28,42,1,53
tract,26021002400,1951,10.2%,,50,79.7%,74.1%,68,71,12,9
tract,26023950100,3801,10.2%,,14,78.1%,75.8%,48,35,13,42
tract,26025003200,2260,10.2%,,25,78.0%,73.9%,55,67,16,40
tract,26037010902,4428,10.2%,,19,78.8%,77.0%,10,33,9,28
tract,26037010104,3628,10.2%,,51,80.1%,77.7%,37,50,49,55
tract,26045021002,4167,10.2%,,33,79.1%,77.3%,12,28,32,11
tract,26049012006,2637,10.2%,4.0,45,78.7%,78.3%,54,34,25,72
tract,26049012501,1986,10.2%,,17,78.1%,76.4%,25,11,22,19
tract,26049012703,2896,10.2%,,22,78.2%,79.8%,32,17,12,49
tract,26049011210,1716,10.2%,3.0,34,79.0%,79.1%,59,66,36,76
tract,26057000200,4898,10.2%,,35,78.4%,75.8%,15,43,10,39
tract,26057000800,4211,10.2%,,15,78.2%,76.9%,30,68,13,58
tract,26057000900,3401,10.2%,,16,78.2%,74.9%,54,41,14,30
tract,26061000500,3574,10.2%,,25,78.3%,75.4%,34,84,5,59
tract,26063951000,3793,10.2%,,0,79.6%,72.4%,72,92,21,64
tract,26121002100,3439,10.2%,3.6,75,80.0%,72.2%,85,98,52,79
tract,26099214500,4351,10.2%,,33,78.8%,77.0%,3,12,10,12
tract,26121002800,6310,10.2%,,58,78.4%,77.1%,24,39,17,25
tract,26145010302,7869,10.2%,,42,80.7%,81.9%,8,76,49,14
tract,26145011702,2313,10.2%,,21,79.9%,76.7%,21,27,23,40
tract,26099224500,4082,10.2%,,61,79.9%,82.0%,17,12,1,26
tract,26145012400,1892,10.2%,,0,79.6%,77.6%,14,42,11,35
tract,26099230602,6349,10.2%,,74,80.5%,77.4%,45,60,46,83
tract,26099231800,4347,10.2%,,75,79.8%,78.3%,63,38,38,77
tract,26125126200,2754,10.2%,,0,79.3%,76.9%,6,1,15,41
tract,26147635000,5767,10.2%,,44,79.4%,72.7%,71,78,9,38
tract,26077003002,2386,10.2%,,38,77.7%,79.1%,0,21,2,4
tract,26125193100,3754,10.2%,,52,79.7%,77.8%,24,38,22,22
tract,26081000600,4357,10.2%,,74,78.3%,80.6%,4,70,14,9
tract,26133970300,3065,10.2%,,14,78.4%,74.4%,59,71,10,85
tract,26125156300,4076,10.2%,,48,80.6%,79.8%,10,3,42,81
tract,26081011001,4307,10.2%,,31,77.8%,78.1%,7,7,19,39
tract,26139022206,4681,10.2%,,79,80.4%,77.1%,28,33,47,53
tract,26087333500,5466,10.2%,,30,78.0%,76.9%,41,23,3,8
tract,26115831600,2847,10.2%,,46,78.8%,70.7%,53,46,18,56
tract,26139025700,5419,10.2%,,69,80.5%,75.8%,53,71,54,77
tract,26015010800,3286,10.1%,,13,78.5%,76.8%,57,49,8,42
tract,26021011000,2757,10.1%,,0,78.8%,76.0%,36,39,11,25
tract,26021021200,1652,10.1%,,51,78.8%,76.5%,33,42,15,69
tract,26035001300,3659,10.1%,,0,77.9%,69.6%,69,94,5,81
tract,26075006804,5912,10.1%,,15,76.9%,79.5%,2,13,7,33
tract,26077002904,9183,10.1%,,45,79.5%,81.1%,3,10,37,55
tract,26093740200,3958,10.1%,,44,78.8%,79.4%,5,6,12,8
tract,26111291700,4060,10.1%,,0,77.1%,74.8%,62,78,7,37
tract,26147651100,2020,10.1%,,20,79.1%,77.7%,15,2,3,28
tract,26075006000,6846,10.1%,,35,76.8%,78.3%,40,26,1,23
tract,26075006401,2952,10.1%,,30,76.3%,78.0%,41,41,7,23
tract,26011970300,2758,10.1%,,0,78.8%,74.2%,43,37,10,80
tract,26015010402,4294,10.1%,,0,79.1%,80.1%,10,5,9,44
tract,26007000200,3917,10.1%,,0,78.8%,74.4%,60,47,4,15
tract,26021010500,2246,10.1%,,27,79.8%,74.8%,59,83,34,62
tract,26017285202,3965,10.1%,,0,78.7%,74.5%,59,93,13,45
tract,26021001700,4683,10.1%,,27,79.8%,78.9%,25,17,18,29
tract,26025001500,5331,10.1%,,53,79.6%,80.1%,14,14,37,65
tract,26027001800,8250,10.1%,,44,79.1%,77.4%,8,11,10,29
tract,26037010400,5210,10.1%,,22,78.9%,77.7%,7,21,16,26
tract,26037010701,2054,10.1%,,19,78.8%,75.8%,24,20,10,22
tract,26035000800,4622,10.1%,,0,77.7%,75.1%,72,76,5,65
tract,26045021001,4818,10.1%,,50,78.3%,74.5%,30,87,20,74
tract,26045021201,2982,10.1%,,25,78.8%,74.9%,14,26,9,27
tract,26049010112,2364,10.1%,,14,78.1%,77.9%,68,45,23,36
tract,26055551100,3717,10.1%,,41,79.6%,74.8%,36,58,11,11
tract,26099250700,2959,10.1%,2.8,48,78.4%,80.1%,19,13,9,9
tract,26061000200,2992,10.1%,,48,78.4%,73.8%,65,54,2,32
tract,26099250500,2106,10.1%,,52,79.1%,82.8%,13,17,5,19
tract,26121001700,5068,10.1%,,52,79.1%,76.5%,22,5,24,22
tract,26099212000,5509,10.1%,,17,78.7%,79.9%,13,31,2,18
tract,26101000900,2119,10.1%,,0,78.5%,75.5%,58,67,19,60
tract,26145012300,3042,10.1%,,25,79.3%,79.6%,38,15,4,16
tract,26145013000,4319,10.1%,,0,78.8%,78.4%,17,30,20,39
tract,26125125000,3419,10.1%,,25,78.1%,74.3%,14,30,1,13
tract,26147633100,2771,10.1%,,33,79.0%,74.6%,13,30,1,6
tract,26125131100,2279,10.1%,,13,78.2%,74.9%,21,5,6,69
tract,26077002102,3009,10.1%,,63,78.2%,80.8%,18,5,25,22
tract,26125190400,3646,10.1%,,37,78.6%,74.5%,22,28,6,45
tract,26125196600,2174,10.1%,,65,80.8%,79.4%,0,6,46,24
tract,26125135100,5445,10.1%,,44,79.2%,76.3%,5,2,20,5
tract,26161407000,5003,10.1%,,65,76.1%,79.9%,5,31,39,19
tract,26137950100,2742,10.1%,,25,78.3%,72.9%,52,70,5,39
tract,26125157000,2406,10.1%,,48,80.2%,80.0%,15,3,39,39
tract,26157000500,4881,10.1%,,0,78.4%,76.8%,55,60,5,67
tract,26161425000,4509,10.1%,,58,75.0%,78.4%,2,7,37,35
tract,26087338000,5098,10.1%,,35,78.1%,77.4%,32,48,10,40
tract,26107960700,7055,10.1%,,0,78.8%,76.6%,35,68,16,37
tract,26161461000,7567,10.1%,,40,75.1%,77.4%,3,7,19,4
tract,26157001100,3302,10.1%,,0,79.0%,75.8%,58,50,10,56
tract,26157001300,4734,10.1%,,0,79.2%,75.2%,41,37,11,36
tract,26111290200,3606,10.1%,,85,78.2%,73.0%,56,58,16,66
tract,26111291101,3694,10.1%,,15,77.6%,77.9%,29,18,9,40
tract,26093712601,4575,10.1%,,54,78.3%,78.9%,20,25,1,13
tract,26093740500,2313,10.1%,,50,79.0%,83.1%,10,24,4,4
tract,26115833700,2552,10.1%,,37,79.0%,70.5%,35,21,10,38
tract,26115990000,0,10.1%,,,79.0%,70.5%,35,21,10,38
tract,26117970300,3373,10.1%,,16,78.6%,75.3%,72,42,17,49
tract,26125130000,3413,10.1%,,17,78.4%,73.1%,36,62,14,84
tract,26075005600,7232,10.0%,,43,76.7%,79.3%,6,13,17,64
tract,26049011508,2702,10.0%,4.0,44,79.2%,77.7%,66,75,26,16
tract,26049013112,4517,10.0%,,38,78.4%,82.0%,18,9,9,23
tract,26099262600,2525,10.0%,,81,81.7%,77.9%,52,80,48,59
tract,26077003400,3806,10.0%,,26,77.2%,77.2%,48,49,7,42
tract,26081011901,6944,10.0%,,43,79.0%,78.7%,1,2,17,23
tract,26115832800,4835,10.0%,,0,78.2%,73.7%,9,21,1,7
tract,26117970900,3198,10.0%,,0,78.5%,76.4%,58,17,8,38
tract,26125150400,2947,10.0%,,60,80.3%,76.8%,6,6,50,82
tract,26163550300,3158,10.0%,1.2,55,79.1%,81.2%,1,1,16,40
tract,26065005501,6377,10.0%,,58,78.7%,79.8%,17,70,33,73
tract,26075006702,4720,10.0%,,21,76.4%,76.0%,49,38,6,68
tract,26009960200,3110,10.0%,,19,78.1%,74.1%,41,35,10,18
tract,26021010600,5043,10.0%,,19,80.1%,76.0%,50,59,36,77
tract,26017286300,3632,10.0%,,0,78.2%,75.0%,37,51,12,45
tract,26025003000,2130,10.0%,,28,77.5%,77.3%,32,18,2,33
tract,26027002000,4367,10.0%,,17,78.4%,73.3%,88,51,21,30
tract,26037011002,3509,10.0%,,14,79.1%,78.4%,17,5,4,56
tract,26045020500,3517,10.0%,,24,78.4%,77.5%,11,18,9,18
tract,26049010604,2651,10.0%,,15,78.4%,77.4%,26,51,22,42
tract,26049010700,4906,10.0%,,16,78.5%,80.2%,8,20,6,41
tract,26049010910,2962,10.0%,4.0,52,79.0%,72.5%,82,88,39,68
tract,26099254100,4360,10.0%,,69,80.8%,77.4%,64,52,31,60
tract,26099217000,2554,10.0%,,20,78.8%,78.3%,19,7,11,25
tract,26145012200,1599,10.0%,,0,79.7%,75.5%,57,69,32,64
tract,26145012600,3266,10.0%,,0,79.0%,75.0%,42,75,28,64
tract,26099228000,3365,10.0%,,68,80.1%,80.2%,41,95,34,87
tract,26125123100,3190,10.0%,,14,78.1%,76.2%,4,26,14,16
tract,26125126400,3586,10.0%,,0,78.3%,74.3%,18,19,15,50
tract,26147637200,3694,10.0%,,66,78.3%,77.9%,24,39,4,72
tract,26077002202,8281,10.0%,,53,77.9%,78.8%,36,22,27,28
tract,26125193000,3341,10.0%,,58,78.7%,77.7%,21,41,36,25
tract,26125152900,4289,10.0%,2.7,72,79.3%,76.3%,23,14,42,56
tract,26081010801,8554,10.0%,,0,77.9%,79.2%,3,37,12,29
tract,26081010903,7161,10.0%,,0,78.7%,79.2%,9,4,11,19
tract,26155031800,4186,10.0%,,0,77.8%,75.1%,28,79,12,64
tract,26157000300,3190,10.0%,,0,78.8%,75.0%,58,42,12,87
tract,26139020503,3742,10.0%,,49,81.3%,77.5%,20,10,7,23
tract,26125166400,3115,10.0%,,50,80.3%,77.8%,8,16,52,6
tract,26163594300,3021,10.0%,,68,78.5%,81.5%,18,13,19,6
tract,26107960400,4525,10.0%,,0,78.4%,75.0%,39,56,11,68
tract,26161431000,4732,10.0%,,0,74.1%,77.6%,19,50,12,24
tract,26161445000,2782,10.0%,,0,74.6%,77.6%,6,45,13,12
tract,26087341000,4763,10.0%,,14,77.7%,78.9%,36,24,9,33
tract,26109960700,3379,10.0%,,76,78.2%,77.5%,74,86,17,27
tract,26111290800,5453,10.0%,,75,77.5%,83.2%,7,15,16,21
tract,26113960400,2807,10.0%,,0,77.6%,75.0%,74,67,11,88
tract,26115830100,3422,10.0%,,42,78.4%,72.2%,26,24,26,20
tract,26151970400,3917,10.0%,,0,78.5%,75.0%,56,88,15,60
tract,26091062400,5155,10.0%,,16,78.3%,80.0%,19,52,14,21
tract,26093710700,1813,10.0%,,28,78.6%,76.8%,49,8,9,31
tract,26115833100,5416,10.0%,,28,78.1%,74.6%,32,3,13,37
tract,26115833600,3012,10.0%,,47,78.5%,71.1%,26,32,15,55
tract,26093740600,2909,10.0%,,44,79.2%,80.0%,10,17,12,23
tract,26163560300,3318,10.0%,,63,79.7%,82.7%,9,28,28,16
tract,26133970600,4287,10.0%,,0,78.6%,75.0%,59,88,12,55
tract,26057001000,3892,9.9%,,36,77.6%,71.7%,45,89,17,41
tract,26125132500,3556,9.9%,,32,78.9%,76.0%,25,77,17,45
tract,26139022600,2069,9.9%,,55,81.0%,78.2%,5,5,27,28
tract,26163551800,3380,9.9%,2.0,50,78.9%,81.0%,18,59,21,40
tract,26075006200,6758,9.9%,,29,76.2%,77.0%,49,86,18,73
tract,26075006801,3020,9.9%,,13,76.6%,78.1%,44,17,15,19
tract,26015010500,3480,9.9%,,17,78.9%,78.5%,36,39,7,33
tract,26017285100,3325,9.9%,,0,78.9%,81.3%,7,7,18,56
tract,26017286100,7495,9.9%,,41,78.4%,78.8%,20,40,4,53
tract,26021001400,4521,9.9%,,34,79.4%,79.2%,16,47,25,19
tract,26029000100,1775,9.9%,,23,78.5%,74.8%,50,72,12,80
tract,26023950300,3695,9.9%,,22,78.0%,73.0%,48,45,20,60
tract,26025002200,3390,9.9%,,24,77.9%,76.3%,41,38,13,20
tract,26027001700,5089,9.9%,,16,77.6%,77.2%,43,42,11,54
tract,26029001200,3161,9.9%,,33,78.8%,78.0%,24,73,10,39
tract,26035000600,3678,9.9%,,0,78.2%,71.7%,64,94,11,83
tract,26045020303,3484,9.9%,,62,79.6%,78.1%,20,31,29,12
tract,26045020402,2870,9.9%,,36,79.2%,76.7%,13,18,13,23
tract,26049011601,2851,9.9%,,26,78.4%,80.6%,6,25,7,36
tract,26047970700,3624,9.9%,,23,78.5%,80.3%,19,43,16,19
tract,26099251600,3038,9.9%,3.0,49,79.4%,80.3%,18,49,22,32
tract,26063950600,2587,9.9%,,16,78.2%,72.9%,53,36,3,61
tract,26121002300,5661,9.9%,,63,78.3%,79.9%,18,24,12,38
tract,26121003500,4167,9.9%,,46,78.4%,76.3%,28,40,9,17
tract,26123970300,3727,9.9%,,0,77.9%,70.6%,53,69,13,68
tract,26145010502,5354,9.9%,,38,80.4%,81.5%,39,31,52,55
tract,26147627000,2410,9.9%,,45,78.7%,76.6%,31,24,19,64
tract,26125127100,5695,9.9%,,13,79.0%,73.2%,8,4,29,53
tract,26147642000,5327,9.9%,,40,78.9%,76.7%,34,40,6,57
tract,26077001200,2674,9.9%,2.1,71,78.4%,79.7%,9,13,28,8
tract,26125191200,4827,9.9%,,66,79.2%,79.6%,30,48,23,42
tract,26125196400,3995,9.9%,,61,80.7%,80.2%,8,5,48,18
tract,26125154100,2729,9.9%,,35,79.0%,76.9%,27,6,20,60
tract,26125157900,2832,9.9%,,40,80.5%,79.5%,11,5,57,71
tract,26157000200,3159,9.9%,,0,78.3%,76.6%,24,42,13,49
tract,26157000600,4450,9.9%,,0,78.4%,70.4%,78,98,16,86
tract,26157000700,3306,9.9%,,0,79.2%,71.1%,39,73,11,40
tract,26139020501,3334,9.9%,,58,80.6%,78.3%,29,84,18,62
tract,26125168500,2945,9.9%,,59,80.9%,78.4%,27,33,65,23
tract,26125171000,4976,9.9%,,68,79.7%,76.1%,57,34,55,98
tract,26081014601,8304,9.9%,,58,78.2%,76.7%,24,4,12,6
tract,26161426000,4248,9.9%,,33,74.3%,78.2%,13,33,17,21
tract,26157001200,4459,9.9%,,0,78.5%,75.3%,41,19,8,42
tract,26111290300,3826,9.9%,,71,78.1%,83.1%,5,11,7,44
tract,26091060700,7151,9.9%,,39,78.0%,78.5%,27,27,30,14
tract,26115830800,7020,9.9%,,0,77.7%,74.2%,17,3,2,21
tract,26149041400,5131,9.9%,,22,77.5%,73.8%,52,64,12,63
tract,26151971000,4433,9.9%,,0,78.3%,72.8%,67,89,7,54
tract,26091062100,4210,9.9%,,13,77.8%,80.9%,21,43,9,17
tract,26117970700,5591,9.9%,,24,78.0%,76.2%,56,47,9,50
tract,26163556200,2724,9.9%,,62,80.0%,78.2%,44,79,35,45
tract,26163557300,2230,9.9%,,65,78.7%,80.9%,18,19,26,48
tract,26017286400,2433,9.8%,,0,78.2%,78.3%,51,33,3,20
tract,26045020700,4092,9.8%,,0,78.1%,73.0%,53,59,16,69
tract,26049011711,2526,9.8%,,54,77.3%,77.0%,76,73,8,66
tract,26081011401,2338,9.8%,,54,77.1%,73.8%,25,39,23,26
tract,26127010400,3758,9.8%,,0,78.1%,73.6%,48,94,36,76
tract,26115831100,2647,9.8%,,32,77.6%,69.4%,41,16,5,13
tract,26125168100,2238,9.8%,,54,81.2%,78.4%,32,6,52,71
tract,26163558400,4030,9.8%,,74,78.8%,81.2%,14,23,21,37
tract,26065006002,3681,9.8%,,16,78.0%,77.1%,26,58,9,29
tract,26065006302,4177,9.8%,,48,78.8%,79.6%,33,44,22,66
tract,26005032100,4724,9.8%,,42,78.1%,79.3%,14,39,20,7
tract,26019000100,7600,9.8%,,0,77.4%,71.6%,56,44,15,35
tract,26025000900,3510,9.8%,,49,79.5%,77.5%,46,57,31,21
tract,26025001900,4199,9.8%,,40,78.0%,76.6%,10,54,28,46
tract,26037010300,5321,9.8%,,44,79.3%,79.6%,6,16,24,15
tract,26037010702,2466,9.8%,,14,78.4%,73.8%,52,34,9,25
tract,26045021302,3269,9.8%,,40,78.8%,73.5%,45,78,10,66
tract,26049011502,3183,9.8%,,40,78.0%,76.2%,50,6,24,16
tract,26049012802,1941,9.8%,,28,78.0%,78.0%,49,48,18,12
tract,26049013111,2925,9.8%,,33,78.0%,80.5%,8,11,18,22
tract,26063950900,3731,9.8%,,13,78.0%,75.0%,43,64,1,45
tract,26121004000,2191,9.8%,,41,78.8%,76.5%,28,57,27,13
tract,26145013100,5734,9.8%,,0,79.2%,77.6%,15,45,10,29
tract,26103001500,2879,9.8%,,20,78.9%,79.9%,22,11,8,10
tract,26099230200,4854,9.8%,,68,79.0%,77.3%,20,11,15,48
tract,26147632000,3925,9.8%,,19,78.8%,70.7%,47,49,20,26
tract,26147641000,3447,9.8%,,34,78.2%,77.6%,14,20,2,18
tract,26147646000,4769,9.8%,,17,77.9%,76.4%,49,23,12,50
tract,26077002801,4331,9.8%,,45,77.2%,79.9%,2,41,10,15
tract,26077006102,3520,9.8%,,45,77.2%,80.0%,11,26,3,51
tract,26077006601,4491,9.8%,,50,76.4%,79.1%,8,22,8,26
tract,26125192500,3150,9.8%,,60,80.4%,79.1%,1,1,47,19
tract,26151971200,4990,9.8%,,0,78.0%,74.4%,55,60,9,45
tract,26161413403,2086,9.8%,,65,76.0%,78.8%,6,39,47,16
tract,26081004500,8371,9.8%,,86,80.5%,78.2%,24,73,73,39
tract,26155031302,4193,9.8%,,16,78.0%,76.0%,36,14,12,37
tract,26081012202,6858,9.8%,,62,79.1%,81.6%,1,31,19,19
tract,26163591700,6709,9.8%,,58,79.0%,78.1%,26,10,32,4
tract,26087334500,2217,9.8%,,25,77.7%,75.4%,47,10,11,21
tract,26159011500,3593,9.8%,,0,78.9%,75.1%,63,82,38,60
tract,26163594400,2773,9.8%,,68,78.9%,76.2%,53,59,31,74
tract,26091060500,3300,9.8%,,28,77.8%,79.3%,42,35,9,67
tract,26151970900,4772,9.8%,,0,78.7%,75.7%,59,97,15,79
tract,26093710100,2646,9.8%,,44,78.5%,80.3%,8,8,20,46
tract,26093711000,4244,9.8%,,31,78.8%,78.9%,31,25,3,53
tract,26139023600,2447,9.8%,,46,81.2%,80.9%,4,35,7,10
tract,26093724002,2243,9.8%,,57,78.1%,78.4%,28,6,4,36
tract,26093732100,3412,9.8%,,0,77.6%,76.8%,47,22,1,52
tract,26093733100,1959,9.8%,,14,78.4%,79.8%,6,27,1,18
tract,26117970800,4622,9.8%,,14,78.5%,75.5%,54,92,9,69
tract,26163550500,3658,9.8%,1.4,48,79.4%,81.3%,3,10,18,18
tract,26163582100,3939,9.8%,,70,77.2%,77.8%,29,53,24,44
tract,26161464000,6193,9.8%,,46,73.9%,76.8%,18,16,22,20
tract,26075006600,4842,9.7%,,27,75.8%,75.7%,52,26,12,28
tract,26025002800,4337,9.7%,,0,77.5%,75.0%,45,51,15,65
tract,26091060100,3817,9.7%,,17,77.9%,79.9%,44,55,11,19
tract,26125192700,3214,9.7%,,61,79.6%,80.0%,5,39,40,80
tract,26125196300,3489,9.7%,,63,80.0%,77.7%,3,24,47,23
tract,26125131500,4042,9.7%,,0,77.6%,74.9%,12,2,4,12
tract,26125158200,3248,9.7%,,68,78.8%,76.0%,1,2,21,7
tract,26147637100,3856,9.7%,,59,78.3%,75.0%,37,36,5,33
tract,26147640600,2365,9.7%,,40,79.0%,78.7%,30,27,10,23
tract,26147649000,4028,9.7%,,15,78.6%,71.6%,64,53,11,56
tract,26155031900,3597,9.7%,,0,77.9%,77.5%,55,66,0,26
tract,26065005401,3638,9.7%,,67,78.4%,80.3%,44,56,49,59
tract,26073940300,5620,9.7%,,37,77.1%,74.8%,49,82,34,19
tract,26075006500,6681,9.7%,,37,75.7%,77.3%,35,50,9,25
tract,26021002500,2286,9.7%,,47,81.7%,74.1%,63,62,57,76
tract,26025001700,4474,9.7%,,49,78.7%,79.5%,19,55,40,54
tract,26037010600,2443,9.7%,,16,78.5%,75.5%,31,28,4,27
tract,26031960200,2991,9.7%,,0,78.7%,72.3%,68,58,19,53
tract,26035000400,3518,9.7%,,0,77.7%,72.6%,79,81,12,46
tract,26047970500,4729,9.7%,,22,78.4%,79.6%,29,57,5,35
tract,26059050200,3034,9.7%,,22,78.5%,71.7%,51,57,7,24
tract,26049012801,4584,9.7%,,21,77.5%,79.1%,9,20,8,56
tract,26049012905,3460,9.7%,,42,78.7%,80.0%,50,56,35,40
tract,26049013301,5772,9.7%,,31,77.8%,80.5%,36,23,2,59
tract,26099214000,2855,9.7%,,31,78.6%,77.7%,34,55,15,46
tract,26121002602,4259,9.7%,,68,78.8%,76.4%,47,84,26,72
tract,26103000300,2171,9.7%,,23,78.0%,71.7%,81,57,18,14
tract,26145011800,2137,9.7%,,32,80.6%,75.7%,33,38,40,60
