Geo Type,Geo ID,Population,Asthma,Historic Redlining Score,Toxic Releases to Air,Extreme Income Disparities,Pneumonia,Asthma_2,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status
tract,26099255200,4004,11.80%,,79,0.1,0,0,39,76,70
tract,26061000200,2992,11.80%,,41,0.1,,,65,54,2
tract,26063951200,3947,11.80%,,64,0,,,59,77,5
tract,26065002901,3515,11.80%,,61,0,,,52,57,45
tract,26119910300,1779,11.80%,,26,0,,,50,48,9
tract,26099982300,104,11.80%,,81,-0.1,,,,,13
tract,26099263500,4110,11.80%,,84,0.1,0,0,78,50,58
tract,26101000900,2119,11.80%,,43,-0.1,,,58,67,19
tract,26103000200,2078,11.80%,,5,-0.1,,,60,45,17
tract,26123970500,4706,11.80%,,43,-0.1,,,59,85,5
tract,26145012900,4415,11.80%,,29,-0.1,,,52,60,10
tract,26147628000,3250,11.80%,,44,-0.1,,,61,52,33
tract,26103002000,2420,11.80%,,8,0.2,,,76,73,13
tract,26103002500,2529,11.80%,,6,-0.2,,,35,53,6
tract,26099228100,1641,11.80%,,66,0.1,0,0,75,86,36
tract,26165380500,6671,11.80%,,10,-0.1,,,39,82,20
tract,26151971200,4990,11.80%,,17,-0.1,,,55,60,9
tract,26155030500,3289,11.80%,,22,0,,,41,11,4
tract,26127010300,6973,11.80%,,42,-0.1,,,62,86,51
tract,26127010500,3234,11.80%,,11,0,,,72,89,33
tract,26127010600,5426,11.80%,,41,-0.1,,,60,85,15
tract,26125145502,3840,11.80%,,61,-0.1,200,200,45,30,13
tract,26161410200,2357,11.80%,,62,0,,,62,97,55
tract,26081010401,5295,11.80%,,41,-0.4,,,28,29,15
tract,26081011101,4668,11.80%,,50,-0.2,,,25,35,15
tract,26137950300,5360,11.80%,,34,0.1,,,57,88,15
tract,26125160000,4128,11.80%,2,71,-0.5,0,0,25,23,79
tract,26125160500,4149,11.80%,,71,-0.2,0,0,50,53,71
tract,26125161500,1826,11.80%,,70,-0.4,100,0,24,1,88
tract,26155031302,4193,11.80%,,28,-0.2,,,36,14,12
tract,26155031600,3718,11.80%,,27,0,,,56,76,12
tract,26157000600,4450,11.80%,,64,0.1,,,78,98,16
tract,26163592000,4492,11.80%,,70,-0.4,0,0,23,9,28
tract,26081012901,5054,11.80%,3,60,-0.1,,,78,80,65
tract,26105950700,3033,11.80%,,15,0,,,69,57,14
tract,26125175000,3132,11.80%,4,86,0,0,0,49,61,41
tract,26149040500,2596,11.80%,,71,-0.1,,,68,9,27
tract,26107960200,2915,11.80%,,29,0,,,53,50,11
tract,26087340500,2812,11.80%,,36,-0.2,,,54,27,23
tract,26163985100,200,11.80%,3.8,88,0.1,,,79,76,79
tract,26165380200,4607,11.80%,,8,-0.1,,,63,59,9
tract,26091060700,7151,11.80%,,87,-0.3,,,27,27,30
tract,26115830500,3849,11.80%,,62,-0.4,0,0,38,18,14
tract,26115830700,3725,11.80%,,55,-0.2,,,44,71,24
tract,26115831000,3133,11.80%,,63,-0.3,0,0,18,29,20
tract,26149041400,5131,11.80%,,84,-0.1,,,52,64,12
tract,26151971000,4433,11.80%,,27,0,,,67,89,7
tract,26091061700,9442,11.80%,,57,0,,,63,96,23
tract,26093722300,2881,11.80%,,42,0,,,56,74,8
tract,26115832600,2095,11.80%,,70,-0.2,0,0,37,14,25
tract,26117970800,4622,11.80%,,34,0,,,54,92,9
tract,26117971100,5092,11.80%,,33,-0.1,,,42,79,12
tract,26117971200,5910,11.80%,,57,0,,,64,79,18
tract,26099260700,3050,11.80%,,78,-0.1,0,0,53,32,52
tract,26163543000,1848,11.80%,2,75,-0.3,300,800,12,17,87
tract,26163567201,3592,11.80%,,74,-0.3,0,0,43,9,28
tract,26163569500,2702,11.80%,3,75,-0.2,0,0,35,7,36
tract,26163569700,4574,11.80%,3.5,74,-0.2,0,0,60,19,24
tract,26163572700,4267,11.80%,,79,-0.1,0,0,54,15,35
tract,26163573000,3085,11.80%,,74,-0.5,100,0,30,40,25
tract,26163580800,1455,11.80%,3.8,98,-0.3,0,0,40,30,12
tract,26163581500,2229,11.80%,,94,-0.2,0,0,30,3,17
tract,26075006600,4842,11.70%,,46,-0.1,,,52,26,12
tract,26005031300,4886,11.70%,,59,-0.2,,,43,50,10
tract,26013000100,4135,11.70%,,6,0,,,40,79,30
tract,26021011500,1454,11.70%,,45,0,,,55,8,17
tract,26099250100,2140,11.70%,,66,0,0,0,63,7,23
tract,26099255400,2473,11.70%,,86,-0.1,0,0,25,1,26
tract,26099262100,961,11.70%,,87,0,100,0,83,28,40
tract,26087333000,3104,11.70%,,27,-0.2,,,25,41,7
tract,26091060402,3251,11.70%,,25,-0.2,,,43,30,4
tract,26135970202,1575,11.70%,,31,-0.1,,,64,23,2
tract,26139020200,4396,11.70%,,54,-0.1,,,67,78,21
tract,26105950400,4575,11.70%,,26,0.1,,,48,98,22
tract,26107960100,2322,11.70%,,31,0,,,57,77,7
tract,26115831100,2647,11.70%,,66,-0.3,0,0,41,16,5
tract,26117970400,3234,11.70%,,36,-0.1,,,75,81,22
tract,26125132500,3556,11.70%,,54,-0.3,500,300,25,77,17
tract,26125140600,2600,11.70%,,64,-0.2,0,0,63,81,65
tract,26125144200,4357,11.70%,,56,-0.3,100,0,39,16,13
tract,26145010403,5593,11.70%,,49,-0.1,,,74,53,43
tract,26163559200,2142,11.70%,,74,-0.4,0,0,22,9,31
tract,26065006200,5690,11.70%,,33,-0.4,,,24,14,7
tract,26065006500,3772,11.70%,2.2,47,0.1,,,51,57,46
tract,26067031900,6502,11.70%,,46,-0.1,,,45,73,21
tract,26069000300,2601,11.70%,,6,0.1,,,48,69,3
tract,26005031000,6289,11.70%,,31,0,,,62,73,35
tract,26075005500,4758,11.70%,3,38,0.2,,,46,75,39
tract,26075006701,5095,11.70%,,36,-0.3,,,61,57,23
tract,26011970500,4068,11.70%,,34,0.1,,,57,92,12
tract,26015010401,3401,11.70%,,65,-0.2,,,50,17,12
tract,26007000600,3050,11.70%,,71,0.1,,,48,83,6
tract,26009960700,4970,11.70%,,21,-0.1,,,27,41,7
tract,26015010700,5082,11.70%,,75,-0.1,,,49,45,15
tract,26025002200,3390,11.70%,,78,-0.2,,,41,38,13
tract,26027001700,5089,11.70%,,32,-0.1,,,43,42,11
tract,26045020601,3987,11.70%,,47,-0.1,,,31,79,23
tract,26045021401,3595,11.70%,,43,-0.2,,,43,77,50
tract,26049011503,4634,11.70%,,29,-0.2,,,43,64,39
tract,26049011710,2411,11.70%,,26,0.1,,,60,69,17
tract,26049012504,1943,11.70%,,27,-0.1,,,55,10,22
tract,26049012702,5535,11.70%,,27,-0.1,,,17,48,9
tract,26049010112,2364,11.70%,,28,0,,,68,45,23
tract,26059050300,2227,11.70%,,64,0,,,46,72,3
tract,26059051000,4234,11.70%,,45,-0.1,,,36,62,9
tract,26055550500,5923,11.70%,,6,-0.1,,,31,63,8
tract,26099251700,2869,11.70%,3,77,-0.1,0,0,42,50,33
tract,26099254100,4360,11.70%,,72,-0.1,0,0,64,52,31
tract,26099255500,1727,11.70%,,90,-0.2,0,0,61,6,45
tract,26061000400,3166,11.70%,,17,0.1,,,40,81,7
tract,26065001703,4323,11.70%,2.9,46,0,,,51,68,63
tract,26121002602,4259,11.70%,,81,-0.1,,,47,84,26
tract,26103000700,3334,11.70%,,6,0.1,,,44,64,10
tract,26099220002,4727,11.70%,,42,-0.1,0,0,43,68,22
tract,26145012200,1599,11.70%,,43,-0.1,,,57,69,32
tract,26145012500,4001,11.70%,,22,0,,,38,20,6
tract,26099230800,5210,11.70%,,71,-0.2,0,0,83,57,43
tract,26099231500,5080,11.70%,,72,-0.2,0,0,69,30,24
tract,26099231600,5322,11.70%,,73,-0.1,0,0,88,87,42
tract,26077001603,1710,11.70%,3,64,0,,,33,31,31
tract,26099241200,4878,11.70%,,63,0,0,0,67,30,37
tract,26125193500,2800,11.70%,,62,-0.3,0,0,51,38,40
tract,26125140700,2870,11.70%,,64,-0.3,0,0,58,61,70
tract,26125141000,5225,11.70%,,65,0.1,0,0,80,71,69
tract,26155030300,4798,11.70%,,24,0,,,45,70,13
tract,26079950602,1738,11.70%,,34,0,,,50,43,9
tract,26081004200,4334,11.70%,2.5,60,-0.2,,,35,50,58
tract,26081010101,5794,11.70%,,24,-0.2,,,24,42,7
tract,26135970201,1458,11.70%,,44,0,,,69,44,7
tract,26081012004,4948,11.70%,,44,-0.1,,,37,88,6
tract,26081013802,6953,11.70%,,53,-0.1,,,48,76,62
tract,26081014804,7951,11.70%,,65,-0.2,,,33,40,1
tract,26105950100,2373,11.70%,,22,0,,,55,40,15
tract,26147650100,4027,11.70%,,40,-0.2,,,38,45,18
tract,26147655600,3242,11.70%,,24,-0.2,,,49,43,10
tract,26085961300,3087,11.70%,,7,0.1,,,81,52,15
tract,26107960400,4525,11.70%,,15,-0.1,,,39,56,11
tract,26159011500,3593,11.70%,,13,-0.1,,,63,82,38
tract,26109960300,2213,11.70%,,35,0,,,25,36,15
tract,26111290600,2418,11.70%,,91,0.1,,,78,98,24
tract,26091060800,3313,11.70%,,89,0,,,58,51,20
tract,26111291601,2533,11.70%,,35,-0.2,,,28,26,22
tract,26111291602,4693,11.70%,,44,-0.2,,,61,77,5
tract,26113960400,2807,11.70%,,7,0,,,74,67,11
tract,26149041300,6693,11.70%,,57,-0.2,,,57,96,9
tract,26091062300,5234,11.70%,,70,-0.3,,,33,61,26
tract,26115831300,4900,11.70%,,72,-0.1,0,0,45,17,14
tract,26115831500,3169,11.70%,,73,0,0,0,61,78,3
tract,26115832400,4345,11.70%,,67,-0.3,0,0,28,71,15
tract,26117970300,3373,11.70%,,40,0,,,72,42,17
tract,26117970600,5205,11.70%,,23,-0.2,,,34,34,20
tract,26099261900,3081,11.70%,,89,0,0,0,60,20,52
tract,26099262700,5046,11.70%,,94,-0.2,0,0,59,36,64
tract,26163565100,3515,11.70%,,75,-0.1,0,100,78,64,64
tract,26163567300,4405,11.70%,,73,-0.3,0,0,35,41,37
tract,26163568200,4089,11.70%,,78,-0.3,0,0,27,7,28
tract,26163582100,3939,11.70%,,89,-0.2,0,0,29,53,24
tract,26163583300,2662,11.70%,,80,-0.1,0,0,36,0,43
tract,26163583700,3612,11.70%,,77,-0.2,0,0,48,6,32
tract,26029001100,1856,11.70%,,5,0,,,51,57,20
tract,26139022900,6205,11.70%,,53,-0.2,,,38,41,25
tract,26067031200,5120,11.60%,,39,-0.2,,,32,56,19
tract,26005030703,2814,11.60%,,32,0,,,67,57,49
tract,26017280800,3420,11.60%,3,97,0,,,39,14,28
tract,26025002800,4337,11.60%,,80,-0.1,,,45,51,15
tract,26045020700,4092,11.60%,,58,-0.2,,,53,59,16
tract,26049011901,2573,11.60%,,22,-0.1,,,57,21,28
tract,26063950800,3354,11.60%,,40,0,,,41,61,7
tract,26081010102,2874,11.60%,,33,-0.2,,,51,43,16
tract,26081012902,4920,11.60%,,60,-0.1,,,55,39,60
tract,26091060100,3817,11.60%,,58,-0.3,,,44,55,11
tract,26099231700,6716,11.60%,,74,-0.3,0,0,63,42,31
tract,26117970900,3198,11.60%,,35,0,,,58,17,8
tract,26119910500,1499,11.60%,,41,0,,,76,39,9
tract,26125130600,3152,11.60%,,59,-0.2,400,200,7,5,12
tract,26125144800,2827,11.60%,,60,-0.2,100,0,66,43,45
tract,26155030200,3428,11.60%,,22,-0.2,,,46,17,6
tract,26155031900,3597,11.60%,,24,-0.1,,,55,66,0
tract,26065003400,2396,11.60%,3,68,0,,,33,50,58
tract,26163566600,1967,11.60%,,79,-0.3,0,0,37,40,41
tract,26069000900,1873,11.60%,,20,0.2,,,51,33,28
tract,26071000200,1618,11.60%,,5,0,,,37,36,3
tract,26065006402,3236,11.60%,,41,-0.3,,,28,64,13
tract,26005031900,5152,11.60%,,57,-0.3,,,60,58,29
tract,26073000900,3935,11.60%,,48,-0.1,,,42,41,15
tract,26075006702,4720,11.60%,,31,-0.2,,,49,38,6
tract,26001970400,2802,11.60%,,27,0.1,,,54,66,5
tract,26003000100,3540,11.60%,,7,0.1,,,43,87,22
tract,26009960200,3110,11.60%,,13,-0.1,,,41,35,10
tract,26021021100,1904,11.60%,,79,-0.1,,,51,68,12
tract,26017285900,5066,11.60%,,79,0,,,70,53,17
tract,26021000700,2819,11.60%,,7,-0.1,,,64,53,64
tract,26035000700,3064,11.60%,,30,0,,,72,74,9
tract,26049010504,3804,11.60%,,21,-0.2,,,39,37,57
tract,26049011210,1716,11.60%,3,34,0.1,,,59,66,36
tract,26049012905,3460,11.60%,,42,-0.1,,,50,56,35
tract,26055550300,6776,11.60%,,5,-0.2,,,54,52,9
tract,26099254200,4328,11.60%,,78,-0.2,0,0,39,35,32
tract,26099256400,1434,11.60%,,81,-0.2,100,0,28,0,58
tract,26061000300,2032,11.60%,,37,0.3,,,72,74,11
tract,26063950300,2123,11.60%,,41,0.1,,,35,54,1
tract,26063950600,2587,11.60%,,39,0,,,53,36,3
tract,26065001000,2168,11.60%,2.8,46,0,,,66,47,41
tract,26065002200,1659,11.60%,2.7,52,-0.2,,,25,23,33
tract,26099247602,4561,11.60%,,62,0,0,0,29,79,30
tract,26121003000,4427,11.60%,,60,-0.2,,,39,66,18
tract,26121003600,6529,11.60%,,62,-0.3,,,40,20,25
tract,26145010304,5127,11.60%,,54,0,,,76,41,60
tract,26101000600,1437,11.60%,,19,0,,,60,73,11
tract,26099225600,4479,11.60%,,65,-0.2,0,0,35,37,37
tract,26103001300,4016,11.60%,,6,-0.1,,,44,63,10
tract,26099231100,3979,11.60%,,70,-0.1,0,0,55,66,48
tract,26125128500,3191,11.60%,,62,-0.3,0,0,23,33,39
tract,26077001501,4724,11.60%,,82,-0.2,,,59,91,35
tract,26163524000,3312,11.60%,3.4,0,0.2,,,,,
tract,26125140900,5419,11.60%,3,61,-0.3,0,0,81,60,77
tract,26155030400,2999,11.60%,,21,-0.2,,,8,43,12
tract,26081001200,3264,11.60%,3,56,0,,,52,77,46
tract,26129950200,3226,11.60%,,40,-0.1,,,38,21,6
tract,26125145200,3658,11.60%,,63,-0.3,100,0,54,13,43
tract,26161412700,5639,11.60%,,74,-0.2,,,62,21,64
tract,26081010700,5790,11.60%,,35,-0.3,,,50,34,19
tract,26137950100,2742,11.60%,,20,-0.2,,,52,70,5
tract,26157000500,4881,11.60%,,40,-0.1,,,55,60,5
tract,26081011405,3011,11.60%,,57,-0.3,,,30,26,33
tract,26149040900,4315,11.60%,,46,-0.2,,,28,62,6
tract,26087339000,3121,11.60%,,28,-0.4,,,39,27,31
tract,26157001300,4734,11.60%,,30,-0.1,,,41,37,11
tract,26163595000,3855,11.60%,4,91,-0.1,0,0,41,74,20
tract,26091061400,3581,11.60%,,56,0.1,,,65,65,40
tract,26113960300,4974,11.60%,,4,-0.1,,,53,82,10
tract,26115830100,3422,11.60%,,66,-0.3,0,0,26,24,26
tract,26149041500,4647,11.60%,,74,-0.2,,,51,63,22
tract,26151970800,5667,11.60%,,16,-0.1,,,45,43,16
tract,26091062000,2701,11.60%,,65,-0.2,,,42,24,6
tract,26115831200,6800,11.60%,,66,-0.3,0,0,25,15,21
tract,26115832700,2632,11.60%,,68,-0.1,0,0,41,14,0
tract,26115833100,5416,11.60%,,73,-0.3,0,0,32,3,13
tract,26117971300,4880,11.60%,,40,-0.1,,,50,92,25
tract,26163557000,3227,11.60%,,69,-0.2,0,0,25,24,46
tract,26163564000,1963,11.60%,,75,0,0,0,58,89,62
tract,26163564200,4132,11.60%,,74,-0.3,0,0,30,69,38
tract,26163565600,2111,11.60%,,77,-0.3,0,0,29,2,17
tract,26163567900,2979,11.60%,,77,-0.3,0,100,19,19,32
tract,26163575200,3729,11.60%,3,77,-0.1,0,0,36,3,36
tract,26163575400,2976,11.60%,3,0,-0.1,,,,,
tract,26163575500,3427,11.60%,3,84,-0.2,0,0,32,8,38
tract,26163576000,1878,11.60%,,0,0,,,,,
tract,26163581600,5978,11.60%,,88,-0.2,100,0,46,72,52
tract,26021010200,6550,11.50%,,5,-0.1,,,45,69,14
tract,26041970600,4011,11.50%,,23,-0.1,,,43,86,10
tract,26099245300,4404,11.50%,,60,-0.2,0,0,48,28,30
tract,26099251800,4098,11.50%,,81,-0.1,0,0,26,18,60
tract,26099256500,1490,11.50%,,81,-0.2,0,0,60,46,46
tract,26099267600,1436,11.50%,,88,-0.4,100,0,34,4,28
tract,26077001502,4555,11.50%,,72,0,,,44,43,42
tract,26081014704,3066,11.50%,,64,-0.3,,,12,51,23
tract,26125181600,5236,11.50%,4,84,-0.1,0,0,62,53,23
tract,26115833200,4340,11.50%,,74,-0.4,0,0,6,7,8
tract,26123971000,5138,11.50%,,21,-0.2,,,46,71,16
tract,26145012100,3955,11.50%,,42,-0.3,,,29,16,7
tract,26147658100,2605,11.50%,,25,-0.3,,,43,13,5
tract,26157001000,5150,11.50%,,28,-0.1,,,45,45,3
tract,26159010200,6087,11.50%,,14,-0.2,,,48,77,43
tract,26065004000,4005,11.50%,1.3,45,0,,,64,75,25
tract,26065004301,4311,11.50%,2.3,42,-0.1,,,43,55,41
tract,26163538100,2329,11.50%,2.1,81,-0.3,200,700,28,3,85
tract,26163575300,3292,11.50%,3,79,-0.2,0,0,35,8,28
tract,26163581200,3347,11.50%,,85,0,0,0,55,62,31
tract,26065005401,3638,11.50%,,50,-0.1,,,44,56,49
tract,26065005900,5368,11.50%,,33,-0.3,,,39,25,11
tract,26005030401,7764,11.50%,,62,-0.2,,,17,4,3
tract,26005030600,5338,11.50%,,52,-0.2,,,55,27,15
tract,26005031100,6693,11.50%,,46,-0.1,,,33,38,12
tract,26075006200,6758,11.50%,,29,-0.1,,,49,86,18
tract,26007000700,2950,11.50%,,76,0,,,42,70,9
tract,26007000800,3079,11.50%,,86,0,,,51,35,3
tract,26021010500,2246,11.50%,,10,-0.2,,,59,83,34
tract,26017286000,2692,11.50%,,67,-0.2,,,37,11,19
tract,26019000100,7600,11.50%,,13,-0.1,,,56,44,15
tract,26023950300,3695,11.50%,,51,-0.1,,,48,45,20
tract,26025002400,3032,11.50%,,91,-0.3,,,33,37,25
tract,26027001500,3754,11.50%,,79,-0.2,,,39,27,25
tract,26037010702,2466,11.50%,,25,-0.1,,,52,34,9
tract,26031960100,2835,11.50%,,1,0,,,54,45,20
tract,26045021301,2911,11.50%,,45,-0.1,,,36,60,18
tract,26041971100,3075,11.50%,,33,0,,,27,72,34
tract,26049012402,2663,11.50%,,18,-0.2,,,32,31,2
tract,26049012603,2607,11.50%,,24,-0.2,,,54,60,10
tract,26057000500,5199,11.50%,,39,0.1,,,57,99,21
tract,26049012802,1941,11.50%,,27,-0.2,,,49,48,18
tract,26049013202,5685,11.50%,,39,-0.3,,,44,46,23
tract,26053950200,2117,11.50%,,0,0.2,,,34,52,22
tract,26053950300,2423,11.50%,,0,0,,,38,74,6
tract,26099252000,2453,11.50%,3,76,-0.1,0,0,36,25,27
tract,26101000400,2428,11.50%,,46,0,,,55,55,14
tract,26145010402,5256,11.50%,2,50,-0.1,,,50,67,35
tract,26145011800,2137,11.50%,,41,-0.2,,,33,38,40
tract,26099230500,3724,11.50%,,71,0.4,,,24,76,0
tract,26099240500,2713,11.50%,,66,-0.3,0,0,40,54,39
tract,26125124500,6174,11.50%,,39,-0.1,0,0,60,91,11
tract,26147640200,2402,11.50%,,45,-0.4,,,18,30,10
tract,26077001905,5822,11.50%,,67,-0.1,,,34,88,35
tract,26099243500,6533,11.50%,,59,-0.4,0,0,36,3,59
tract,26155030100,5845,11.50%,,19,-0.2,,,31,49,6
tract,26079950601,2148,11.50%,,26,0,,,53,42,12
tract,26129950300,1636,11.50%,,29,0,,,55,21,5
tract,26125144701,3830,11.50%,,61,0,100,0,59,96,41
tract,26125145100,2375,11.50%,,61,-0.3,100,0,39,11,23
tract,26161405600,4931,11.50%,,54,0.2,,,49,19,68
tract,26081002900,1377,11.50%,3.2,55,-0.3,,,69,70,51
tract,26081010402,4321,11.50%,,41,-0.1,,,42,33,8
tract,26155031700,4103,11.50%,,23,-0.1,,,37,86,6
tract,26157000300,3190,11.50%,,40,0,,,58,42,12
tract,26157000900,5149,11.50%,,32,0,,,59,92,20
tract,26081011403,2852,11.50%,,58,-0.1,,,39,75,50
tract,26081012607,5577,11.50%,,66,0,,,49,84,61
tract,26081012608,3686,11.50%,,71,0,,,63,99,45
tract,26139021603,4397,11.50%,,49,-0.3,,,7,27,10
tract,26163588000,5922,11.50%,,85,-0.3,0,0,57,28,67
tract,26163588400,5370,11.50%,,79,-0.4,0,0,27,10,58
tract,26163590600,2401,11.50%,,70,-0.4,0,0,29,13,25
tract,26163594000,2510,11.50%,3.1,85,-0.2,0,0,28,19,18
tract,26081013000,3336,11.50%,3,50,-0.2,,,27,62,30
tract,26161421100,3937,11.50%,,56,-0.3,,,25,59,17
tract,26147651600,4013,11.50%,,33,-0.4,,,20,57,4
tract,26149040100,3684,11.50%,,77,-0.2,,,18,32,25
tract,26149040800,3370,11.50%,,71,-0.1,,,53,76,44
tract,26149041000,3399,11.50%,,51,-0.1,,,41,43,9
tract,26109960100,3503,11.50%,,22,-0.1,,,50,85,4
tract,26159011800,6850,11.50%,,19,-0.2,,,41,78,15
tract,26087340000,4026,11.50%,,36,-0.4,,,14,32,1
tract,26089970200,5242,11.50%,,9,-0.4,,,41,71,43
tract,26163598000,3186,11.50%,,69,-0.4,0,0,19,56,24
tract,26091060301,4699,11.50%,,35,-0.3,,,16,5,5
tract,26091060500,3300,11.50%,,42,-0.2,,,42,35,9
tract,26151970200,2432,11.50%,,54,-0.1,,,49,28,4
tract,26093732100,3412,11.50%,,34,-0.2,,,47,22,1
tract,26117970700,5591,11.50%,,35,-0.2,,,56,47,9
tract,26099261200,2647,11.50%,,82,-0.2,0,0,43,11,36
tract,26099262300,4079,11.50%,,82,0,0,0,67,64,60
tract,26163565700,3126,11.50%,,78,-0.3,100,0,36,24,54
tract,26163574300,3401,11.50%,,0,-0.2,,,,,
tract,26163574700,4734,11.50%,2,76,-0.4,0,0,25,41,9
tract,26163576100,6070,11.50%,3,88,-0.1,0,0,46,13,43
tract,26163581100,3747,11.50%,,88,-0.1,0,0,26,48,46
tract,26163583600,2612,11.50%,,80,-0.3,0,200,31,27,33
tract,26045020102,3162,11.50%,,53,-0.1,,,47,34,56
tract,26125130000,3413,11.50%,,55,-0.2,400,100,36,62,14
tract,26163589300,3968,11.50%,,72,-0.3,0,0,22,39,21
tract,26021011000,2757,11.40%,,32,-0.3,,,36,39,11
tract,26021021200,1652,11.40%,,78,-0.1,,,33,42,15
tract,26029001300,1637,11.40%,,6,0,,,36,34,8
tract,26033971000,2639,11.40%,,0,-0.1,,,34,34,21
tract,26045020902,4111,11.40%,,62,-0.1,,,23,64,14
tract,26049011800,2862,11.40%,,27,-0.2,,,32,21,11
tract,26099254000,1641,11.40%,,70,-0.3,0,0,27,42,11
tract,26077003400,3806,11.40%,,66,-0.2,,,48,49,7
tract,26099224600,6222,11.40%,,56,-0.3,0,0,56,64,34
tract,26099240900,1938,11.40%,,61,-0.3,0,0,48,41,33
tract,26121002900,5488,11.40%,,65,-0.1,,,32,70,19
tract,26065004801,4232,11.40%,,36,-0.1,,,28,70,38
tract,26067030400,6579,11.40%,,38,-0.3,,,24,37,7
tract,26067031500,5687,11.40%,,27,-0.3,,,29,65,17
tract,26075005301,5029,11.40%,2.6,40,-0.2,,,46,34,37
tract,26075006303,4638,11.40%,,30,0,,,23,51,4
tract,26075006401,2952,11.40%,,56,-0.2,,,41,41,7
tract,26075006500,6681,11.40%,,49,-0.3,,,35,50,9
tract,26007000300,3414,11.40%,,74,-0.1,,,46,75,7
tract,26021011300,4032,11.40%,,48,-0.1,,,77,69,17
tract,26015011400,6350,11.40%,,65,-0.4,,,46,11,18
tract,26017280500,3196,11.40%,2.1,93,-0.1,,,48,15,15
tract,26017285300,4497,11.40%,,78,-0.2,,,20,27,6
tract,26029000100,1775,11.40%,,7,-0.1,,,50,72,12
tract,26025002500,3285,11.40%,,94,-0.2,,,48,13,16
tract,26025003700,4734,11.40%,,72,-0.1,,,51,37,20
tract,26027001600,3652,11.40%,,79,-0.2,,,43,53,47
tract,26037010600,2443,11.40%,,28,-0.2,,,31,28,4
tract,26029001000,2434,11.40%,,5,-0.2,,,46,87,4
tract,26045021100,5637,11.40%,,66,-0.2,,,42,78,18
tract,26045021302,3269,11.40%,,45,-0.1,,,45,78,10
tract,26041970300,2360,11.40%,,16,0,,,30,23,8
tract,26043950300,4768,11.40%,,54,-0.1,,,19,80,6
tract,26045020103,4077,11.40%,,62,0,,,60,75,48
tract,26045020403,2702,11.40%,,32,-0.2,,,24,81,10
tract,26049012006,2637,11.40%,4,27,0.1,,,54,34,25
tract,26049012501,1986,11.40%,,23,-0.2,,,25,11,22
tract,26049012703,2896,11.40%,,24,-0.3,,,32,17,12
tract,26059050600,3501,11.40%,,36,-0.1,,,43,49,8
tract,26049012904,6190,11.40%,,33,-0.3,,,17,39,21
tract,26049980000,42,11.40%,,70,-0.3,,,,,
tract,26063950900,3731,11.40%,,82,-0.1,,,43,64,1
tract,26099215500,7706,11.40%,,50,-0.3,0,0,55,64,16
tract,26099225800,6975,11.40%,,61,-0.2,0,0,62,54,40
tract,26123970400,5143,11.40%,,46,-0.2,,,39,45,21
tract,26125120000,3123,11.40%,,49,-0.4,0,0,46,50,6
tract,26125121000,3302,11.40%,,49,-0.3,0,0,39,72,23
tract,26125122400,7017,11.40%,,47,-0.4,0,0,19,22,20
tract,26145013000,4319,11.40%,,35,-0.2,,,17,30,20
tract,26147631100,1765,11.40%,,31,-0.3,,,31,90,15
tract,26103001800,2834,11.40%,,8,-0.1,,,16,18,12
tract,26099231800,4347,11.40%,,75,-0.3,0,0,63,38,38
tract,26125124000,5472,11.40%,,39,-0.3,0,0,47,83,20
tract,26125126400,3586,11.40%,,48,-0.5,0,0,18,19,15
tract,26147634600,5503,11.40%,,47,-0.2,,,46,42,14
tract,26099241900,5138,11.40%,,62,-0.1,0,0,55,77,42
tract,26125134900,3778,11.40%,,63,-0.1,100,0,26,28,21
tract,26163521400,1147,11.40%,4,86,0.1,400,700,68,25,72
tract,26077006103,5378,11.40%,,55,-0.3,,,26,57,11
tract,26077006601,4491,11.40%,,58,-0.4,,,8,22,8
tract,26125145700,3135,11.40%,,61,-0.2,0,0,41,72,52
tract,26081001700,4604,11.40%,2.1,61,-0.1,,,42,92,23
tract,26129950400,2963,11.40%,,33,0,,,38,15,10
tract,26133970500,4328,11.40%,,21,-0.1,,,48,76,11
tract,26125160700,1657,11.40%,,68,-0.4,0,0,16,20,77
tract,26155031401,5866,11.40%,,29,-0.3,,,15,47,11
tract,26157000400,3303,11.40%,,41,-0.2,,,30,76,21
tract,26157000800,3769,11.40%,,37,-0.2,,,33,19,9
tract,26081012003,7555,11.40%,,43,-0.5,,,6,73,24
tract,26163590400,7240,11.40%,,68,-0.4,0,0,31,40,32
tract,26081012800,4293,11.40%,,61,-0.2,,,36,36,59
tract,26125181000,3875,11.40%,,77,0.1,0,0,57,82,69
tract,26125181500,2465,11.40%,3.2,83,-0.2,0,0,44,19,27
tract,26147658500,3757,11.40%,,31,-0.4,,,14,32,4
tract,26085960100,2448,11.40%,,14,0,,,69,53,9
tract,26087338000,5098,11.40%,,33,-0.3,,,32,48,10
tract,26107960700,7055,11.40%,,18,-0.1,,,35,68,16
tract,26107960900,3197,11.40%,,29,0,,,65,52,3
tract,26157001200,4459,11.40%,,23,-0.1,,,41,19,8
tract,26091060302,4112,11.40%,,29,-0.3,,,13,30,12
tract,26111291400,3891,11.40%,,44,-0.1,,,44,72,9
tract,26151970900,4772,11.40%,,28,0,,,59,97,15
tract,26091062100,4210,11.40%,,63,-0.2,,,21,43,9
