Geo Type,Geo ID,Population,Coronary Heart Disease,Historic Redlining Score,Toxic Releases to Air,Extreme Income Disparities,Hypertension,Myocardial Infarction,Socioeconomic Status,Housing & Transportation,Racial & Ethnic Minority Status
tract,26049003800,1258,7.6%,4.0,48,0.3,39.9%,,85,19,65
tract,26049010201,1657,7.6%,,27,-0.3,38.0%,,18,17,2
tract,26049010604,2651,7.6%,,16,-0.3,36.1%,,26,51,22
tract,26049010610,5331,7.6%,,16,-0.3,38.2%,,36,74,18
tract,26057000800,4211,7.6%,,31,-0.2,35.5%,,30,68,13
tract,26049012905,3460,7.6%,,42,-0.1,38.2%,,50,56,35
tract,26121002000,3686,7.6%,,78,0.0,34.9%,,69,41,20
tract,26145000400,954,7.6%,3.0,51,0.2,44.6%,,74,85,84
tract,26099268000,5421,7.6%,3.0,93,0.0,40.4%,0.0,49,81,60
tract,26121002601,3641,7.6%,,86,0.1,36.5%,,66,87,40
tract,26145010304,5127,7.6%,,54,0.0,34.5%,,76,41,60
tract,26145010501,2329,7.6%,,48,-0.4,36.4%,,7,15,21
tract,26103001200,5532,7.6%,,4,-0.2,35.8%,,23,57,12
tract,26099244000,2243,7.6%,,60,-0.4,37.7%,0.0,9,2,19
tract,26125131300,5102,7.6%,,50,-0.3,32.9%,300.0,33,67,9
tract,26125142100,1584,7.6%,2.4,61,0.2,42.3%,0.0,95,89,85
tract,26161412000,4232,7.6%,,74,0.1,32.0%,,79,35,63
tract,26125150900,3903,7.6%,,65,-0.5,36.2%,0.0,23,31,39
tract,26137950200,6045,7.6%,,31,-0.1,35.0%,,36,57,7
tract,26155031600,3718,7.6%,,27,0.0,35.2%,,56,76,12
tract,26139020600,3319,7.6%,,70,-0.3,36.3%,,9,40,18
tract,26163594200,2476,7.6%,,79,-0.5,35.0%,0.0,8,21,14
tract,26087332500,3575,7.6%,,17,-0.2,33.8%,,52,69,2
tract,26087337500,4190,7.6%,,49,0.0,33.3%,,56,96,15
tract,26091060500,3300,7.6%,,42,-0.2,38.0%,,42,35,9
tract,26091060700,7151,7.6%,,87,-0.3,38.3%,,27,27,30
tract,26115831900,1338,7.6%,,77,0.3,37.9%,0.0,92,31,38
tract,26115832900,4405,7.6%,,58,-0.2,36.8%,,29,56,14
tract,26117971200,5910,7.6%,,57,0.0,32.9%,,64,79,18
tract,26099256800,1631,7.6%,,89,0.0,36.9%,0.0,94,22,42
tract,26099260800,2708,7.6%,,77,-0.2,36.9%,0.0,72,3,9
tract,26163582100,3939,7.6%,,89,-0.2,34.8%,0.0,29,53,24
tract,26163583800,4876,7.6%,,77,-0.2,35.3%,0.0,27,50,48
tract,26163584400,3111,7.6%,,76,-0.1,37.5%,0.0,53,40,54
tract,26163585700,1714,7.6%,,73,0.0,42.6%,0.0,77,27,68
tract,26029001100,1856,7.6%,,5,0.0,34.9%,,51,57,20
tract,26099245100,3832,7.5%,,60,0.0,37.4%,0.0,86,73,55
tract,26099267600,1436,7.5%,,88,-0.4,35.3%,0.0,34,4,28
tract,26077006701,2913,7.5%,,79,-0.2,33.5%,,48,55,15
tract,26121003200,5505,7.5%,,75,0.0,34.0%,,49,55,19
tract,26123971000,5138,7.5%,,21,-0.2,35.0%,,46,71,16
tract,26125157100,1904,7.5%,,65,-0.5,36.8%,0.0,33,6,53
tract,26163501200,1648,7.5%,1.1,84,0.4,49.6%,100.0,97,42,99
tract,26163503100,3096,7.5%,3.0,94,0.1,47.3%,200.0,93,77,97
tract,26155031500,6385,7.5%,,31,-0.1,33.9%,,38,28,12
tract,26159010200,6087,7.5%,,14,-0.2,36.3%,,48,77,43
tract,26163541700,2501,7.5%,,70,0.4,49.6%,100.0,93,53,98
tract,26017281300,2823,7.5%,4.0,89,0.0,35.2%,,46,31,19
tract,26021001700,4683,7.5%,,27,-0.4,34.8%,,25,17,18
tract,26021002300,1920,7.5%,,5,0.3,42.5%,,90,72,85
tract,26029000200,1302,7.5%,,5,-0.2,36.4%,,21,33,5
tract,26025001200,2289,7.5%,3.0,96,-0.1,37.4%,,58,10,24
tract,26025003900,4745,7.5%,,97,-0.3,35.6%,,21,76,6
tract,26027001800,8250,7.5%,,80,-0.5,36.2%,,8,11,10
tract,26049011503,4634,7.5%,,29,-0.2,36.2%,,43,64,39
tract,26049011710,2411,7.5%,,26,0.1,35.8%,,60,69,17
tract,26047970600,5739,7.5%,,5,-0.4,34.8%,,4,49,4
tract,26049002600,2616,7.5%,3.0,34,0.2,40.1%,,83,19,46
tract,26057000200,4898,7.5%,,39,-0.3,35.5%,,15,43,10
tract,26059050800,2192,7.5%,,46,0.1,35.1%,,60,79,15
tract,26099251000,1667,7.5%,2.8,73,-0.1,37.7%,0.0,37,7,16
tract,26121000401,5134,7.5%,4.0,84,0.2,38.6%,,73,58,70
tract,26121000800,2863,7.5%,2.6,93,0.1,34.8%,,64,52,44
tract,26145001600,3643,7.5%,3.0,48,0.1,39.2%,,91,31,71
tract,26145013000,4319,7.5%,,35,-0.2,35.0%,,17,30,20
tract,26147622000,4338,7.5%,,73,0.1,37.0%,,79,10,41
tract,26147628000,3250,7.5%,,44,-0.1,36.7%,,61,52,33
tract,26103001300,4016,7.5%,,6,-0.1,36.5%,,44,63,10
tract,26103001800,2834,7.5%,,8,-0.1,33.4%,,16,18,12
tract,26099230602,6349,7.5%,,69,-0.3,38.1%,0.0,45,60,46
tract,26077002202,8281,7.5%,,69,-0.4,35.6%,,36,22,27
tract,26125144600,3732,7.5%,,61,-0.2,34.4%,0.0,51,37,23
tract,26125150000,5063,7.5%,,65,-0.5,35.9%,0.0,15,2,42
tract,26081010200,4426,7.5%,,26,0.1,33.2%,,80,76,28
tract,26125159000,4439,7.5%,,66,-0.7,35.5%,0.0,8,25,40
tract,26155031401,5866,7.5%,,29,-0.3,35.0%,,15,47,11
tract,26147657100,1821,7.5%,,31,0.1,35.4%,,78,56,36
tract,26111290400,2256,7.5%,,64,-0.3,35.6%,,16,40,32
tract,26163505400,2412,7.5%,2.5,89,0.2,49.3%,100.0,96,90,97
tract,26163506200,1974,7.5%,3.4,91,0.1,48.5%,200.0,86,24,98
tract,26163595100,5469,7.5%,,86,-0.1,38.6%,0.0,24,54,44
tract,26111291300,4454,7.5%,,55,-0.3,34.6%,,29,46,8
tract,26115830100,3422,7.5%,,66,-0.3,38.1%,0.0,26,24,26
tract,26115830400,4008,7.5%,,64,-0.2,36.9%,0.0,34,44,12
tract,26093721100,3336,7.5%,,40,-0.3,37.2%,,32,23,4
tract,26115832000,1700,7.5%,,75,0.1,36.7%,0.0,72,49,27
tract,26115833100,5416,7.5%,,73,-0.3,37.1%,0.0,32,3,13
tract,26093742700,3580,7.5%,,52,-0.4,36.5%,,19,12,7
tract,26163542200,3244,7.5%,1.0,76,0.3,50.4%,300.0,83,63,100
tract,26163556600,3517,7.5%,,72,-0.5,36.3%,0.0,22,14,10
tract,26163557600,2787,7.5%,,77,-0.5,34.7%,0.0,9,3,17
tract,26163560400,6015,7.5%,,75,-0.5,35.3%,0.0,16,28,18
tract,26163565800,3550,7.5%,,75,0.0,37.3%,0.0,54,67,20
tract,26163571500,4701,7.5%,,78,0.1,34.5%,0.0,89,75,35
tract,26163573300,4229,7.5%,3.0,87,0.0,30.8%,0.0,89,60,15
tract,26163536500,2338,7.5%,3.0,84,0.4,47.5%,400.0,78,14,93
tract,26041971000,2664,7.4%,,39,0.1,35.3%,,76,40,17
tract,26049010114,2479,7.4%,,25,-0.2,37.4%,,25,36,8
tract,26049011302,3191,7.4%,4.0,44,0.3,38.0%,,82,29,17
tract,26049011714,3033,7.4%,,27,-0.4,36.8%,,16,0,16
tract,26099247400,2488,7.4%,,58,-0.5,37.6%,0.0,1,25,8
tract,26081011401,2338,7.4%,,65,-0.3,34.3%,,25,39,23
tract,26081011804,5315,7.4%,,54,-0.3,37.1%,,20,65,30
tract,26091060100,3817,7.4%,,58,-0.3,37.8%,,44,55,11
tract,26121002900,5488,7.4%,,65,-0.1,33.6%,,32,70,19
tract,26125141100,2984,7.4%,3.0,62,0.2,35.7%,0.0,81,82,74
tract,26125142600,3539,7.4%,1.3,61,0.1,37.9%,0.0,74,96,67
tract,26163542400,2763,7.4%,2.0,78,0.2,47.8%,500.0,84,6,99
tract,26163553800,1557,7.4%,3.0,83,0.2,46.6%,100.0,88,81,94
tract,26065006002,3681,7.4%,,33,-0.3,36.5%,,26,58,9
tract,26021020200,5370,7.4%,,38,-0.1,34.3%,,26,76,25
tract,26021020300,2613,7.4%,,58,-0.4,35.4%,,15,10,11
tract,26021020900,3086,7.4%,,79,0.1,33.9%,,66,42,37
tract,26017280500,3196,7.4%,2.1,93,-0.1,37.1%,,48,15,15
tract,26025000800,2713,7.4%,3.2,82,0.2,39.0%,,74,53,58
tract,26025001400,4307,7.4%,2.9,89,0.0,37.0%,,83,63,58
tract,26037010104,3628,7.4%,,39,-0.3,36.6%,,37,50,49
tract,26045020602,3334,7.4%,,52,-0.3,36.3%,,39,35,22
tract,26043950500,3015,7.4%,,67,0.0,35.7%,,28,38,12
tract,26045020101,2971,7.4%,,71,-0.7,35.6%,,2,4,35
tract,26045020402,2870,7.4%,,34,-0.4,34.1%,,13,18,13
tract,26049010504,3804,7.4%,,21,-0.2,43.3%,,39,37,57
tract,26057000500,5199,7.4%,,39,0.1,34.3%,,57,99,21
tract,26059050900,4859,7.4%,,47,-0.2,37.4%,,28,48,7
tract,26099255300,3988,7.4%,3.0,93,-0.1,39.6%,0.0,49,30,46
tract,26099247200,6845,7.4%,,57,-0.5,37.1%,0.0,12,10,23
tract,26099212000,5509,7.4%,,43,-0.5,36.1%,0.0,13,31,2
tract,26145001800,1328,7.4%,3.0,49,0.3,39.9%,,76,47,57
tract,26099217000,2554,7.4%,,42,-0.3,36.9%,0.0,19,7,11
tract,26147626000,2042,7.4%,,50,0.0,35.5%,,70,34,22
tract,26147642000,5327,7.4%,,44,-0.2,35.2%,,34,40,6
tract,26077001905,5822,7.4%,,67,-0.1,34.1%,,34,88,35
tract,26125131600,2770,7.4%,,48,-0.4,34.7%,300.0,26,6,11
tract,26125145900,3094,7.4%,,61,0.0,37.2%,0.0,64,42,60
tract,26081004500,8371,7.4%,,60,-0.2,37.7%,,24,73,73
tract,26163526100,3196,7.4%,3.9,92,0.3,36.2%,0.0,97,56,63
tract,26125157200,3897,7.4%,,63,-0.3,37.8%,0.0,69,36,53
tract,26155031301,4162,7.4%,,31,-0.3,34.7%,,13,24,8
tract,26163588100,2365,7.4%,,0,-0.1,36.8%,,,,
tract,26163588300,5150,7.4%,,93,-0.3,35.9%,0.0,43,56,31
tract,26081012800,4293,7.4%,,61,-0.2,33.0%,,36,36,59
tract,26147651600,4013,7.4%,,33,-0.4,35.7%,,20,57,4
tract,26087341000,4763,7.4%,,33,-0.4,34.8%,,36,24,9
tract,26163597000,4535,7.4%,,72,-0.3,34.1%,0.0,36,53,23
tract,26091061400,3581,7.4%,,56,0.1,37.0%,,65,65,40
tract,26091062100,4210,7.4%,,63,-0.2,36.7%,,21,43,9
tract,26163543200,2848,7.4%,1.6,73,0.2,46.4%,100.0,85,23,99
tract,26163545600,5503,7.4%,3.1,82,0.3,38.6%,0.0,98,59,55
tract,26163545800,5325,7.4%,3.6,79,0.3,40.5%,0.0,94,61,81
tract,26163555500,2911,7.4%,,74,0.1,41.8%,100.0,51,60,81
tract,26163572000,2039,7.4%,,75,-0.3,33.3%,0.0,63,12,16
tract,26163573100,4078,7.4%,,75,0.0,31.9%,0.0,81,51,31
tract,26163573600,6173,7.4%,2.6,88,0.2,36.0%,0.0,93,81,19
tract,26163583000,2626,7.4%,,80,0.0,35.0%,0.0,55,5,26
tract,26163536900,3235,7.4%,2.0,78,0.3,48.6%,900.0,93,70,99
tract,26067031200,5120,7.3%,,39,-0.2,34.8%,,32,56,19
tract,26099245400,1421,7.3%,,60,0.0,42.9%,0.0,68,70,69
tract,26099231700,6716,7.3%,,74,-0.3,34.9%,0.0,63,42,31
tract,26099240900,1938,7.3%,,61,-0.3,38.2%,0.0,48,41,33
tract,26121000601,1659,7.3%,2.4,90,0.1,39.1%,,85,57,70
tract,26125160400,2816,7.3%,,66,0.0,45.9%,0.0,54,61,92
tract,26125166900,3437,7.3%,,66,-0.4,36.0%,0.0,22,31,51
tract,26163591501,3359,7.3%,,77,0.0,38.2%,0.0,81,90,61
tract,26163596200,3997,7.3%,,79,-0.6,35.4%,0.0,28,11,17
tract,26163543600,1084,7.3%,4.0,74,0.3,44.0%,200.0,89,38,93
tract,26163543800,777,7.3%,4.0,74,0.3,44.0%,400.0,89,38,93
tract,26163569800,2220,7.3%,4.0,74,-0.1,33.7%,0.0,45,32,35
tract,26163583200,2245,7.3%,,78,0.0,33.4%,0.0,78,35,51
tract,26067030400,6579,7.3%,,38,-0.3,34.7%,,24,37,7
tract,26017286600,5382,7.3%,3.7,92,0.1,36.5%,,59,41,16
tract,26021001800,4766,7.3%,,16,-0.6,31.5%,,6,27,22
tract,26025000200,3524,7.3%,2.8,84,0.2,41.1%,,72,99,59
tract,26037010701,2054,7.3%,,34,-0.3,35.1%,,24,20,10
tract,26045020800,5153,7.3%,,70,-0.2,36.1%,,42,59,15
tract,26045021302,3269,7.3%,,45,-0.1,37.5%,,45,78,10
tract,26047970200,5712,7.3%,,2,-0.1,34.1%,,64,40,33
tract,26047970500,4729,7.3%,,4,-0.3,33.9%,,29,57,5
tract,26049013110,2238,7.3%,,36,-0.5,35.6%,,16,3,20
tract,26061000500,3574,7.3%,,7,-0.2,35.0%,,34,84,5
tract,26121000500,4647,7.3%,2.6,87,0.3,39.6%,,91,52,71
tract,26099263700,4602,7.3%,,89,0.1,37.4%,0.0,74,38,69
tract,26099982300,104,7.3%,,81,-0.1,34.3%,,,,13
tract,26077001701,3765,7.3%,1.8,67,0.0,32.5%,,62,75,41
tract,26099241900,5138,7.3%,,62,-0.1,37.5%,0.0,55,77,42
tract,26077002601,4909,7.3%,,83,-0.4,33.0%,,11,52,17
tract,26077003302,6419,7.3%,,64,-0.3,33.2%,,37,30,26
tract,26125142700,3797,7.3%,4.0,63,0.3,45.9%,0.0,89,39,92
tract,26125145700,3135,7.3%,,61,-0.2,34.4%,0.0,41,72,52
tract,26163531600,1855,7.3%,3.0,83,0.3,53.4%,100.0,66,82,98
tract,26139020501,3334,7.3%,,64,-0.3,33.2%,,29,84,18
tract,26163591900,5644,7.3%,,72,-0.2,36.4%,0.0,46,24,16
tract,26125181100,2712,7.3%,,77,-0.2,33.7%,0.0,48,71,15
tract,26147658500,3757,7.3%,,31,-0.4,34.4%,,14,32,4
tract,26087336000,5222,7.3%,,28,-0.4,36.4%,,8,44,2
tract,26087339000,3121,7.3%,,28,-0.4,33.7%,,39,27,31
tract,26087342100,3545,7.3%,,26,-0.3,34.6%,,13,12,6
tract,26115830500,3849,7.3%,,62,-0.4,37.6%,0.0,38,18,14
tract,26163513900,1879,7.3%,3.1,83,0.1,45.5%,300.0,91,33,95
tract,26093724001,2261,7.3%,,47,-0.2,34.7%,,37,92,5
tract,26115833000,4458,7.3%,,71,-0.3,36.1%,,9,20,3
tract,26115833900,5172,7.3%,,79,-0.4,37.4%,,6,10,20
tract,26139025500,4013,7.3%,,53,-0.4,32.9%,,4,48,25
tract,26099258200,2617,7.3%,4.0,91,-0.1,37.8%,0.0,72,65,66
tract,26099260700,3050,7.3%,,78,-0.1,34.3%,0.0,53,32,52
tract,26163539000,2778,7.3%,3.6,79,0.4,50.0%,400.0,87,43,97
tract,26163542600,3731,7.3%,2.0,78,0.2,47.4%,100.0,89,52,100
tract,26163561700,2223,7.3%,,67,-0.2,32.4%,0.0,38,44,35
tract,26163569300,3427,7.3%,3.0,74,-0.2,34.4%,0.0,58,35,17
tract,26163569900,2664,7.3%,4.0,74,-0.1,35.2%,0.0,55,27,32
tract,26163572700,4267,7.3%,,79,-0.1,34.4%,0.0,54,15,35
tract,26163573800,5230,7.3%,3.0,84,0.1,33.0%,0.0,94,39,25
tract,26163576000,1878,7.3%,,0,0.0,36.4%,,,,
tract,26163576100,6070,7.3%,3.0,88,-0.1,35.6%,0.0,46,13,43
tract,26163577200,3297,7.3%,3.0,91,0.0,36.3%,0.0,78,14,67
tract,26163585500,1730,7.3%,,75,0.1,36.1%,0.0,53,43,35
tract,26045020102,3162,7.3%,,53,-0.1,34.9%,,47,34,56
tract,26099250100,2140,7.2%,,66,0.0,36.3%,0.0,63,7,23
tract,26077000100,2717,7.2%,3.0,77,0.1,38.1%,,83,81,79
tract,26093743900,3573,7.2%,,47,-0.5,32.7%,,14,3,3
tract,26099206700,3836,7.2%,,49,-0.2,35.2%,0.0,37,87,34
tract,26099223500,1552,7.2%,,45,-0.4,35.9%,0.0,4,4,6
tract,26099232100,6466,7.2%,,74,-0.3,37.5%,0.0,53,34,44
tract,26125130600,3152,7.2%,,59,-0.2,33.4%,300.0,7,5,12
tract,26125132500,3556,7.2%,,54,-0.3,32.8%,200.0,25,77,17
tract,26125134800,3209,7.2%,,63,-0.3,35.8%,100.0,25,30,42
tract,26125145600,4746,7.2%,,59,-0.3,32.4%,100.0,36,30,22
tract,26125157700,2373,7.2%,,64,-0.7,36.2%,0.0,40,16,63
tract,26125166600,3658,7.2%,,65,0.0,36.6%,0.0,43,94,68
tract,26163503400,955,7.2%,3.0,93,0.2,45.2%,0.0,81,18,95
tract,26163594100,4187,7.2%,2.0,81,-0.2,33.8%,0.0,11,21,11
tract,26163594500,3328,7.2%,,76,-0.4,35.1%,0.0,10,26,24
tract,26163556400,4346,7.2%,,69,-0.6,35.8%,0.0,12,6,27
tract,26163569400,2643,7.2%,3.0,74,-0.1,35.3%,0.0,46,33,25
tract,26067031600,5395,7.2%,,50,0.0,33.8%,,65,81,28
tract,26021001100,4050,7.2%,,8,-0.5,31.6%,,6,11,23
tract,26023950800,4558,7.2%,,47,-0.1,34.5%,,67,81,3
tract,26023951200,4071,7.2%,,38,0.0,36.9%,,53,83,29
tract,26025002400,3032,7.2%,,91,-0.3,36.5%,,33,37,25
tract,26029001200,3161,7.2%,,6,-0.3,34.5%,,24,73,10
tract,26049012009,2620,7.2%,,27,-0.3,37.4%,,31,24,7
tract,26055550800,6291,7.2%,,5,-0.4,33.7%,,15,14,6
tract,26099252000,2453,7.2%,3.0,76,-0.1,36.9%,0.0,36,25,27
tract,26099252200,2838,7.2%,1.9,74,-0.2,37.6%,0.0,21,25,22
tract,26121001700,5068,7.2%,,82,-0.3,33.8%,,22,5,24
tract,26121003500,4167,7.2%,,72,-0.3,33.5%,,28,40,9
tract,26145011100,1767,7.2%,,55,-0.1,35.9%,,31,27,22
tract,26099224500,4082,7.2%,,58,-0.3,34.1%,0.0,17,12,1
tract,26145012002,3570,7.2%,,48,-0.3,34.7%,,10,1,4
tract,26099231000,4397,7.2%,,70,-0.3,37.5%,0.0,56,76,26
tract,26099232300,4481,7.2%,,76,-0.1,38.0%,0.0,67,72,27
tract,26125124000,5472,7.2%,,39,-0.3,33.9%,0.0,47,83,20
tract,26147633100,2771,7.2%,,38,-0.4,36.8%,,13,30,1
tract,26099243500,6533,7.2%,,59,-0.4,33.9%,0.0,36,3,59
tract,26163523100,1480,7.2%,4.0,95,0.5,32.9%,0.0,98,81,84
tract,26161410800,1725,7.2%,,68,0.2,31.0%,,87,82,61
tract,26125156400,3775,7.2%,,64,-0.6,34.7%,0.0,31,6,22
tract,26163526400,1356,7.2%,4.0,90,0.2,35.8%,0.0,99,62,91
tract,26163531400,1206,7.2%,3.0,84,0.3,51.7%,200.0,87,65,99
tract,26125168600,5842,7.2%,,68,-0.1,34.7%,0.0,61,8,56
tract,26163591800,5822,7.2%,,72,-0.1,35.5%,0.0,55,46,40
tract,26163593300,3349,7.2%,,73,-0.3,35.4%,0.0,55,29,32
tract,26161426000,4248,7.2%,,44,-0.4,29.3%,,13,33,17
tract,26087340000,4026,7.2%,,36,-0.4,34.9%,,14,32,1
tract,26163503300,3508,7.2%,2.0,94,0.2,48.0%,100.0,95,35,98
tract,26163503600,1431,7.2%,2.7,91,0.2,45.4%,400.0,92,59,97
tract,26163598000,3186,7.2%,,69,-0.4,34.8%,0.0,19,56,24
tract,26115831000,3133,7.2%,,63,-0.3,35.6%,0.0,18,29,20
tract,26163506800,3890,7.2%,,85,0.2,48.5%,400.0,82,28,98
tract,26093713100,4781,7.2%,,48,-0.5,33.9%,,9,8,12
tract,26115831300,4900,7.2%,,72,-0.1,36.5%,0.0,45,17,14
tract,26115831400,6856,7.2%,,68,-0.1,37.5%,0.0,42,75,15
tract,26093740600,2909,7.2%,,54,-0.6,33.6%,,10,17,12
tract,26099258400,5268,7.2%,4.0,87,0.0,39.9%,0.0,91,57,71
tract,26099261500,3409,7.2%,,84,-0.1,38.0%,0.0,23,22,54
tract,26093743700,2517,7.2%,,84,-0.3,36.0%,,15,18,2
tract,26163540600,3370,7.2%,2.0,73,-0.1,46.8%,300.0,71,20,99
tract,26163557500,3960,7.2%,,75,-0.5,33.0%,0.0,10,2,6
tract,26163558300,1739,7.2%,,74,-0.2,34.9%,0.0,49,48,28
tract,26163565200,5321,7.2%,,74,0.0,36.3%,0.0,35,74,59
tract,26163571800,2883,7.2%,3.0,75,0.0,35.7%,0.0,74,61,43
tract,26033970400,2535,7.1%,,0,0.0,33.7%,,62,32,51
tract,26045020304,4832,7.1%,,48,-0.3,35.4%,,13,75,35
tract,26049003400,2316,7.1%,4.0,37,0.8,45.5%,,93,86,92
tract,26049012907,2218,7.1%,,33,-0.4,34.8%,,19,9,7
tract,26081010802,6277,7.1%,,26,-0.4,33.9%,,29,46,21
tract,26087336500,1268,7.1%,,31,0.2,40.6%,,,,78
tract,26099231200,3586,7.1%,,75,-0.2,34.6%,0.0,39,54,45
tract,26099240300,3929,7.1%,,63,-0.1,35.5%,0.0,20,76,43
tract,26125125600,3029,7.1%,,45,-0.4,35.2%,100.0,27,15,5
tract,26125144200,4357,7.1%,,56,-0.3,33.2%,100.0,39,16,13
tract,26155030700,3182,7.1%,,25,-0.2,34.5%,,54,16,13
tract,26065003700,4637,7.1%,3.0,46,0.2,42.2%,,79,70,69
tract,26163543700,2620,7.1%,3.2,75,0.4,46.8%,300.0,87,63,98
tract,26163566600,1967,7.1%,,79,-0.3,35.1%,0.0,37,40,41
tract,26163567100,3562,7.1%,,74,-0.1,35.3%,0.0,56,94,45
tract,26065005402,3635,7.1%,,54,0.1,37.1%,,67,61,32
tract,26065005700,5070,7.1%,,33,-0.5,35.4%,,11,26,19
tract,26065006402,3236,7.1%,,41,-0.3,36.0%,,28,64,13
tract,26067030200,2906,7.1%,,27,0.0,34.5%,,51,78,24
tract,26005030600,5338,7.1%,,52,-0.2,33.9%,,55,27,15
tract,26005031900,5152,7.1%,,57,-0.3,34.2%,,60,58,29
tract,26025002300,3643,7.1%,,82,-0.2,37.9%,,19,56,26
tract,26037010801,4031,7.1%,,81,-0.1,32.9%,,42,45,8
tract,26045021002,4167,7.1%,,58,-0.4,36.3%,,12,28,32
tract,26045020103,4077,7.1%,,62,0.0,35.6%,,60,75,48
tract,26045020303,3484,7.1%,,46,-0.2,33.7%,,20,31,29
tract,26049010911,4067,7.1%,3.7,36,0.1,44.0%,,58,97,80
tract,26099251600,3038,7.1%,3.0,76,-0.2,36.6%,0.0,18,49,22
tract,26099255500,1727,7.1%,,90,-0.2,38.2%,0.0,61,6,45
tract,26099214000,2855,7.1%,,50,-0.2,33.5%,0.0,34,55,15
tract,26099215500,7706,7.1%,,50,-0.3,34.8%,0.0,55,64,16
tract,26145010302,7869,7.1%,,52,-0.3,33.9%,,8,76,49
tract,26077000900,1041,7.1%,3.3,80,0.2,35.3%,,84,68,75
tract,26077002101,8028,7.1%,,56,-0.3,34.0%,,34,15,7
tract,26077002201,2198,7.1%,,75,0.0,32.2%,,64,30,40
tract,26077002802,6530,7.1%,,69,-0.3,30.9%,,60,60,30
tract,26155030800,3286,7.1%,,27,0.2,34.2%,,78,97,8
tract,26125141500,6378,7.1%,3.9,63,0.2,40.5%,0.0,97,69,90
tract,26161411900,3380,7.1%,,74,0.1,31.7%,,79,82,74
tract,26163530500,1815,7.1%,3.0,84,0.3,48.2%,400.0,89,54,96
tract,26081010902,3943,7.1%,,37,-0.5,33.3%,,13,35,7
tract,26125161000,2105,7.1%,,67,-0.1,46.5%,0.0,44,35,89
tract,26139020100,5393,7.1%,,52,-0.3,32.5%,,25,46,13
tract,26125167900,2869,7.1%,,64,-0.7,35.2%,0.0,19,24,56
tract,26163589400,5386,7.1%,,67,-0.2,34.2%,0.0,59,35,61
tract,26163594300,3021,7.1%,,78,-0.3,33.7%,0.0,18,13,19
tract,26125175100,5169,7.1%,4.0,83,0.0,34.8%,0.0,77,73,28
tract,26149040700,3199,7.1%,,73,0.0,32.7%,,54,64,53
tract,26163599000,5675,7.1%,,70,0.0,35.1%,0.0,60,75,42
tract,26115830600,2946,7.1%,,60,-0.2,36.6%,0.0,39,36,31
tract,26093722300,2881,7.1%,,42,0.0,33.9%,,56,74,8
tract,26093733100,1959,7.1%,,42,-0.4,33.5%,,6,27,1
tract,26099261900,3081,7.1%,,89,0.0,36.1%,0.0,60,20,52
tract,26163538600,5558,7.1%,1.0,80,0.1,46.3%,300.0,80,26,95
tract,26163539300,4090,7.1%,2.0,77,0.0,46.8%,200.0,80,27,91
tract,26163540200,3345,7.1%,2.0,75,0.3,48.8%,300.0,95,12,100
tract,26163552000,3298,7.1%,3.3,85,0.1,34.7%,100.0,95,53,71
tract,26163556200,2724,7.1%,,68,-0.2,36.4%,0.0,44,79,35
tract,26163557700,4188,7.1%,,91,-0.6,32.5%,0.0,13,14,2
tract,26163558100,3393,7.1%,,70,-0.4,33.3%,0.0,15,28,32
tract,26163569600,3512,7.1%,3.0,76,-0.2,33.4%,0.0,46,14,17
tract,26163569700,4574,7.1%,3.5,74,-0.2,35.0%,0.0,60,19,24
tract,26163573702,6642,7.1%,2.5,87,0.0,33.4%,0.0,81,76,11
tract,26163577600,3447,7.1%,3.0,95,-0.2,34.5%,0.0,74,9,56
tract,26099245200,3003,7.0%,,60,0.1,38.8%,0.0,49,92,54
tract,26099261600,1453,7.0%,,85,-0.2,35.6%,0.0,55,13,25
tract,26081001102,4369,7.0%,,53,0.0,34.8%,,42,53,43
tract,26087341500,4264,7.0%,,33,-0.5,33.7%,,12,37,12
tract,26099230700,5186,7.0%,,70,-0.4,35.8%,0.0,57,10,25
tract,26115831800,1275,7.0%,,80,0.1,41.2%,0.0,96,81,65
tract,26121003100,4626,7.0%,,87,0.0,32.9%,,68,30,23
tract,26125153200,1916,7.0%,3.0,69,-0.6,32.2%,0.0,5,41,17
tract,26163516000,2230,7.0%,3.0,85,0.1,45.8%,500.0,71,87,91
tract,26147640600,2365,7.0%,,39,-0.3,37.1%,,30,27,10
tract,26147651100,2020,7.0%,,37,-0.4,33.8%,,15,2,3
tract,26163539600,3529,7.0%,2.0,76,0.0,47.5%,300.0,39,15,96
tract,26163553200,661,7.0%,3.0,82,0.0,53.2%,,85,50,90
tract,26065006001,3393,7.0%,,31,-0.3,35.6%,,26,34,7
tract,26065006200,5690,7.0%,,33,-0.4,36.4%,,24,14,7
tract,26005032100,4724,7.0%,,61,-0.3,34.7%,,14,39,20
tract,26015010500,3480,7.0%,,65,-0.2,33.8%,,36,39,7
tract,26017280400,2555,7.0%,3.4,96,0.2,33.5%,,66,52,37
tract,26025000700,2737,7.0%,3.6,82,0.3,36.5%,,94,97,60
tract,26025001500,5331,7.0%,,82,-0.5,36.5%,,14,14,37
tract,26025003800,4236,7.0%,,86,-0.4,36.0%,,18,25,20
tract,26033970800,4136,7.0%,,5,-0.2,36.6%,,26,36,27
tract,26045021202,3644,7.0%,,47,-0.4,33.7%,,13,26,9
